,Index,Subject,Block,Trial,TrialType,LeftContext,RightContext,LeftItem,RightItem,LeftRank,RightRank,D_Ranks,LeftValue,RightValue,D_Value,Choice,Correct,ChoiceRT,ITI,LeftTragetLoc,RightTragetLoc,LeftContext1,LeftContext2,RightContext1,RightContext2,att,LeftContext1_val,LeftContext2_val,RightContext1_val,RightContext2_val
0,1,201,1,1,hh,High,High,Heat_Blower,Melon_Cutter,43,38,5,21.1,18.2,2.9,1,1,582.97,930.17,2,1,Pan,Popcorn_Machine,Pan,Whiskey,0,28.9,30,28.9,30
1,2,201,1,2,ll,Low,Low,Scale_Kitchen,Melon_Cutter,29,38,-9,15.77,18.2,-2.43,2,1,333.12,970.01,2,2,Flashlight,Gold_USB,Newton_Cradle,Chocolate,0,3.8,0.5,1.333333333,1.7
2,3,201,1,3,Hh,High,Low,Chef_Knife,Matress_Folded,34,27,7,17.6,15,2.6,2,0,483.13,1124.1,1,2,Pan,White_Wine,Gold_USB,Stormtrooper_USB,0,28.9,29.96666667,0.5,3.366666667
3,4,201,1,4,Hl,Low,High,Picnic_Cooler,Body_Scale,36,23,13,17.73,10.7,7.03,1,1,866.31,803.14,1,2,Pointer,Chocolate,Popcorn_Machine,Computer_Tray,0,0.733333333,1.7,30,29.1
4,5,201,1,5,Hh,High,Low,Head_Lamp,Battery,15,9,6,6.9,4,2.9,1,1,549.19,1078.39,3,3,Computer_Tray,White_Wine,Pointer,Stormtrooper_USB,0,29.1,29.96666667,0.733333333,3.366666667
5,6,201,1,6,Hh,Low,High,Box_Pig,Iron,40,46,-6,19,24.47,-5.47,2,1,466.38,1108.91,3,3,Pizza,Newton_Cradle,Computer_Tray,Whiskey,0,2.166666667,1.333333333,29.1,30
6,7,201,1,7,Hh,High,Low,Table_Lamp,Calculator,39,22,17,18.8,10.33,8.47,2,0,533.4,846.57,1,2,Popcorn_Machine,Pan,Pizza,Pointer,0,30,28.9,2.166666667,0.733333333
7,8,201,1,8,Hl,Low,High,Toaster,Kettle,47,21,26,25.5,10.07,15.43,1,1,749.73,880.77,2,1,Pointer,Pizza,Sushi_Kit,Popcorn_Machine,0,0.733333333,2.166666667,30,30
8,9,201,1,9,Hh,High,Low,Women_Hairblower,Kinder,30,10,20,16.2,4.63,11.57,1,1,333.17,1109.23,3,1,White_Wine,Popcorn_Machine,Flashlight,Pointer,0,29.96666667,30,3.8,0.733333333
9,10,201,1,10,hh,High,High,Kinder,Women_Hairblower,10,30,-20,4.63,16.2,-11.57,2,1,666.43,1133.64,2,2,White_Wine,Computer_Tray,Popcorn_Machine,Computer_Tray,0,29.96666667,29.1,30,29.1
10,11,201,1,11,Hl,High,Low,Mentos,Scale_Kitchen,18,29,-11,9.1,15.77,-6.67,2,1,633.19,836.07,2,3,Pulse_Clock,White_Wine,Gold_USB,Flashlight,0,30,29.96666667,0.5,3.8
11,12,201,1,12,Hh,Low,High,Erasable_Board,Portable_Speaker,14,33,-19,6.53,17.6,-11.07,2,1,383.16,1086.13,1,2,Newton_Cradle,Stormtrooper_USB,White_Wine,Sushi_Kit,0,1.333333333,3.366666667,29.96666667,30
12,13,201,1,13,Hh,High,Low,Earphones,Matress_Folded,31,27,4,16.7,15,1.7,1,1,266.5,1177.25,1,1,Vodka,White_Wine,Gold_USB,Stormtrooper_USB,0,30,29.96666667,0.5,3.366666667
13,14,201,1,14,Hl,High,Low,Calculator,Table_Lamp,22,39,-17,10.33,18.8,-8.47,2,1,499.95,846.28,3,3,Pulse_Clock,Sushi_Kit,Pointer,Flashlight,0,30,30,0.733333333,3.8
14,15,201,1,15,ll,Low,Low,Fan,Portable_Speaker,19,33,-14,9.4,17.6,-8.2,2,1,432.99,1109.73,1,1,Gold_USB,Pizza,Chocolate,Newton_Cradle,0,0.5,2.166666667,1.7,1.333333333
15,16,201,1,16,ll,Low,Low,Mentos,Picnic_Cooler,18,36,-18,9.1,17.73,-8.63,2,1,499.88,1148.73,1,3,Chocolate,Flashlight,Newton_Cradle,Pointer,0,1.7,3.8,1.333333333,0.733333333
16,17,201,1,17,Hl,High,Low,Matress_Folded,Earphones,27,31,-4,15,16.7,-1.7,1,0,1066.34,918.21,1,1,Sushi_Kit,White_Wine,Flashlight,Stormtrooper_USB,0,30,29.96666667,3.8,3.366666667
17,18,201,1,18,Hl,High,Low,Head_Lamp,Scale_Kitchen,15,29,-14,6.9,15.77,-8.87,2,1,549.71,1106.82,1,2,Vodka,Pulse_Clock,Pizza,Chocolate,0,30,30,2.166666667,1.7
18,19,201,1,19,hh,High,High,Thermos,Scale_Kitchen,45,29,16,23.97,15.77,8.2,1,1,833.16,1137.44,1,2,Pulse_Clock,Sushi_Kit,White_Wine,Vodka,0,30,30,29.96666667,30
19,20,201,1,20,Hl,High,Low,Picnic_Cooler,Coffee_Machine,36,48,-12,17.73,26.23,-8.5,2,1,916.34,1169.4,1,2,Pulse_Clock,Whiskey,Pizza,Stormtrooper_USB,0,30,30,2.166666667,3.366666667
20,21,201,1,21,Hl,Low,High,Camping_Chair,Bottle,37,32,5,18.07,17.07,1,2,0,266.43,862.16,1,2,Stormtrooper_USB,Flashlight,Whiskey,Pulse_Clock,0,3.366666667,3.8,30,30
21,22,201,1,22,Hh,Low,High,Parker_Pen,Box_Pig,35,40,-5,17.63,19,-1.37,2,1,299.7,1169.15,2,3,Cake,Chocolate,Sushi_Kit,Pan,0,1.1,1.7,30,28.9
22,23,201,1,23,Hh,High,Low,Matress_Folded,Carpet_Candy,27,17,10,15,8.57,6.43,1,1,299.95,1193.19,2,1,Whiskey,Vodka,Stormtrooper_USB,Newton_Cradle,0,30,30,3.366666667,1.333333333
23,24,201,1,24,ll,Low,Low,Scale_Kitchen,Head_Lamp,29,15,14,15.77,6.9,8.87,1,1,499.64,889.23,2,1,Cake,Chocolate,Newton_Cradle,Cake,0,1.1,1.7,1.333333333,1.1
24,25,201,1,25,hh,High,High,Women_Hairblower,Chef_Knife,30,34,-4,16.2,17.6,-1.4,2,1,383.07,810.26,2,1,Whiskey,Pulse_Clock,Popcorn_Machine,Pan,0,30,30,30,28.9
25,26,201,1,26,hh,High,High,Stove,Flight_Pillow,44,12,32,23.4,5.73,17.67,1,1,716.53,855.14,1,1,Popcorn_Machine,Pulse_Clock,Pan,Whiskey,0,30,30,28.9,30
26,27,201,1,27,hh,High,High,Mentos,Iron,18,46,-28,9.1,24.47,-15.37,2,1,616.39,1156.37,3,1,White_Wine,Computer_Tray,Pulse_Clock,Pan,0,29.96666667,29.1,30,28.9
27,28,201,1,28,Hl,High,Low,Erasable_Board,Tea_Box,14,24,-10,6.53,11.43,-4.9,2,1,783.19,1139.12,1,3,Popcorn_Machine,Pulse_Clock,Stormtrooper_USB,Gold_USB,0,30,30,3.366666667,0.5
28,29,201,1,29,Hh,High,Low,Toaster,Kettle,47,21,26,25.5,10.07,15.43,1,1,283.26,1142.07,2,1,Computer_Tray,Vodka,Flashlight,Gold_USB,0,29.1,30,3.8,0.5
29,30,201,1,30,ll,Low,Low,Kinder,Women_Hairblower,10,30,-20,4.63,16.2,-11.57,2,1,467.03,918.55,1,3,Flashlight,Pizza,Chocolate,Pointer,0,3.8,2.166666667,1.7,0.733333333
30,31,201,1,31,Hh,High,Low,Portable_Speaker,Fan,33,19,14,17.6,9.4,8.2,1,1,283.13,853.13,1,3,Whiskey,Popcorn_Machine,Newton_Cradle,Pointer,0,30,30,1.333333333,0.733333333
