,node1,node2,beta
0,LH_VisCent_ExStr_1,LH_VisCent_ExStr_2,-0.17173859536204233
1,LH_VisCent_ExStr_1,LH_SomMotA_1,0.3582368586905872
2,LH_VisCent_ExStr_1,LH_SomMotA_2,-0.374167366784248
3,LH_VisCent_ExStr_1,LH_SomMotB_S2_1,0.6707732266768309
4,LH_VisCent_ExStr_1,LH_SomMotB_S2_2,-0.20073300140843517
5,LH_VisCent_ExStr_1,LH_DorsAttnA_TempOcc_1,-0.21404726961151413
6,LH_VisCent_ExStr_1,LH_DorsAttnA_ParOcc_1,0.14014492126236833
7,LH_VisCent_ExStr_2,LH_VisCent_Striate_1,0.5643366799918327
8,LH_VisCent_ExStr_2,LH_VisPeri_ExStrInf_1,-0.9544972692913657
9,LH_VisCent_ExStr_2,LH_VisPeri_ExStrSup_1,-0.5812856087833059
10,LH_VisCent_ExStr_2,LH_SomMotA_1,0.3785589458508475
11,LH_VisCent_ExStr_2,LH_SomMotB_Aud_1,0.5905492091788196
12,LH_VisCent_ExStr_2,LH_DorsAttnA_TempOcc_1,0.7107972196335953
13,LH_VisCent_Striate_1,LH_VisCent_ExStr_3,-0.34438182594718864
14,LH_VisCent_Striate_1,LH_VisPeri_ExStrInf_1,0.23542682393575268
15,LH_VisCent_Striate_1,LH_VisPeri_ExStrSup_1,-0.7843365926752341
16,LH_VisCent_Striate_1,LH_SomMotA_1,0.16084232230301218
17,LH_VisCent_Striate_1,LH_SomMotA_2,-0.3394943149398727
18,LH_VisCent_Striate_1,LH_DorsAttnA_SPL_1,-0.2477157657868725
19,LH_VisCent_ExStr_3,LH_VisPeri_ExStrInf_1,0.6450571679124775
20,LH_VisCent_ExStr_3,LH_VisPeri_StriCal_1,0.8514264727066011
21,LH_VisCent_ExStr_3,LH_VisPeri_ExStrSup_1,-0.19685796218427384
22,LH_VisCent_ExStr_3,LH_SomMotA_1,-0.7673545821064809
23,LH_VisCent_ExStr_3,LH_SomMotA_2,-0.26678633989828904
24,LH_VisCent_ExStr_3,LH_SomMotB_Aud_1,0.7489951189357016
25,LH_VisCent_ExStr_3,LH_SomMotB_S2_1,-0.4006799820781077
26,LH_VisCent_ExStr_3,LH_DorsAttnA_TempOcc_1,-1.1243928294959988
27,LH_VisPeri_ExStrInf_1,LH_VisPeri_ExStrSup_1,-0.29957607347944293
28,LH_VisPeri_ExStrInf_1,LH_SomMotA_2,-0.46794511962803725
29,LH_VisPeri_ExStrInf_1,LH_SomMotB_Aud_1,-0.4449851610874464
30,LH_VisPeri_ExStrInf_1,LH_DorsAttnA_ParOcc_1,0.21330635842555443
31,LH_VisPeri_ExStrInf_1,LH_DorsAttnA_SPL_1,-0.9506382635861207
32,LH_VisPeri_StriCal_1,LH_SomMotB_Aud_1,-0.20696288908207447
33,LH_VisPeri_StriCal_1,LH_SomMotB_S2_2,-1.178832504966778
34,LH_VisPeri_StriCal_1,LH_DorsAttnA_TempOcc_1,0.3848111303867712
35,LH_VisPeri_StriCal_1,LH_DorsAttnA_ParOcc_1,0.7166638806799872
36,LH_VisPeri_StriCal_1,LH_DorsAttnA_SPL_1,-1.0527217191457943
37,LH_VisPeri_StriCal_1,LH_DorsAttnB_PostC_1,-0.4186132969670447
38,LH_VisPeri_ExStrSup_1,LH_SomMotA_1,-1.1129226487242962
39,LH_VisPeri_ExStrSup_1,LH_SomMotA_2,0.3245908248176483
40,LH_VisPeri_ExStrSup_1,LH_SomMotB_Cent_1,1.166291251850704
41,LH_VisPeri_ExStrSup_1,LH_DorsAttnA_ParOcc_1,-0.5409834593101178
42,LH_VisPeri_ExStrSup_1,LH_DorsAttnA_SPL_1,1.3892413003811106
43,LH_SomMotA_1,LH_SomMotB_Aud_1,-0.8809953983314549
44,LH_SomMotA_1,LH_DorsAttnA_TempOcc_1,0.38745752235831254
45,LH_SomMotA_1,LH_DorsAttnA_SPL_1,0.6379280213279713
46,LH_SomMotA_1,LH_DorsAttnB_PostC_1,-0.4129574785072927
47,LH_SomMotA_2,LH_SomMotB_Aud_1,0.2013099690144838
48,LH_SomMotA_2,LH_SomMotB_S2_1,0.8330386685908243
49,LH_SomMotA_2,LH_SomMotB_S2_2,-1.1186942547382146
50,LH_SomMotA_2,LH_DorsAttnA_TempOcc_1,-0.23565175644701225
51,LH_SomMotA_2,LH_DorsAttnA_ParOcc_1,1.3561397653370661
52,LH_SomMotA_2,LH_DorsAttnB_PostC_1,0.20554016996747146
53,LH_SomMotB_Aud_1,LH_SomMotB_S2_1,-0.28590998654499034
54,LH_SomMotB_Aud_1,LH_SomMotB_S2_2,1.2314835991661317
55,LH_SomMotB_Aud_1,LH_SomMotB_Cent_1,0.6199645909618033
56,LH_SomMotB_Aud_1,LH_DorsAttnA_SPL_1,-0.38455576528596397
57,LH_SomMotB_S2_1,LH_SomMotB_S2_2,0.4916620877472334
58,LH_SomMotB_S2_1,LH_DorsAttnA_TempOcc_1,0.36930054699757975
59,LH_SomMotB_S2_1,LH_DorsAttnA_ParOcc_1,-0.8922048232890099
60,LH_SomMotB_S2_1,LH_DorsAttnA_SPL_1,0.2886525236835457
61,LH_SomMotB_S2_1,LH_DorsAttnB_PostC_1,-0.5156020053330013
62,LH_SomMotB_S2_2,LH_SomMotB_Cent_1,0.15353554809160988
63,LH_SomMotB_S2_2,LH_DorsAttnA_TempOcc_1,0.18381341707625234
64,LH_SomMotB_S2_2,LH_DorsAttnA_SPL_1,-0.34995086439307727
65,LH_SomMotB_Cent_1,LH_DorsAttnA_ParOcc_1,-0.36206691653054085
66,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_SPL_1,0.38790873295984707
