,node1,node2,beta
0,LH_Vis_1,LH_Default_PFC_5,-0.0
1,LH_Vis_1,RH_Default_PFCdPFCm_2,-0.0
2,LH_Vis_3,LH_DorsAttn_Post_3,0.0
3,LH_Vis_3,RH_DorsAttn_PrCv_1,-0.06632673790156138
4,LH_Vis_7,LH_Cont_pCun_1,0.3259049086436014
5,LH_Vis_7,RH_SalVentAttn_TempOccPar_1,0.0
6,LH_Vis_7,RH_Limbic_TempPole_1,0.0
7,LH_Vis_8,LH_DorsAttn_Post_3,0.0
8,LH_Vis_8,RH_DorsAttn_Post_4,0.0
9,LH_SomMot_1,LH_SomMot_4,0.0
10,LH_SomMot_1,RH_SomMot_4,0.0
11,LH_SomMot_1,RH_SomMot_8,0.0
12,LH_SomMot_2,LH_SomMot_4,0.0
13,LH_SomMot_2,LH_SalVentAttn_Med_1,0.0
14,LH_SomMot_2,LH_SalVentAttn_Med_3,-0.0
15,LH_SomMot_2,RH_SomMot_4,0.0
16,LH_SomMot_3,LH_DorsAttn_PrCv_1,-0.0
17,LH_SomMot_3,LH_SalVentAttn_Med_1,-0.11301266820759026
18,LH_SomMot_3,LH_SalVentAttn_Med_3,-0.0
19,LH_SomMot_3,RH_DorsAttn_PrCv_1,-0.0
20,LH_SomMot_3,RH_Default_PFCv_2,-0.0
21,LH_SomMot_4,LH_DorsAttn_PrCv_1,0.0
22,LH_SomMot_4,LH_SalVentAttn_FrOperIns_1,-0.0
23,LH_SomMot_4,LH_SalVentAttn_Med_1,-0.0343599286812729
24,LH_SomMot_4,LH_SalVentAttn_Med_3,-0.0
25,LH_SomMot_4,LH_Default_Par_1,0.0
26,LH_SomMot_4,RH_SomMot_1,0.0
27,LH_SomMot_4,RH_SomMot_2,0.0
28,LH_SomMot_4,RH_DorsAttn_Post_1,0.0
29,LH_SomMot_4,RH_DorsAttn_Post_5,0.0
30,LH_SomMot_4,RH_DorsAttn_PrCv_1,-0.0
31,LH_SomMot_4,RH_SalVentAttn_TempOccPar_1,-0.0
32,LH_SomMot_4,RH_SalVentAttn_TempOccPar_2,-0.06459783647336624
33,LH_SomMot_4,RH_SalVentAttn_FrOperIns_1,-0.0
34,LH_SomMot_4,RH_SalVentAttn_Med_1,-0.0
35,LH_SomMot_4,RH_SalVentAttn_Med_2,0.0
36,LH_SomMot_4,RH_Default_Temp_3,0.0
37,LH_SomMot_4,RH_Default_PFCv_2,-0.0
38,LH_SomMot_5,LH_DorsAttn_PrCv_1,-0.0
39,LH_SomMot_5,LH_SalVentAttn_Med_1,-0.0
40,LH_SomMot_5,LH_SalVentAttn_Med_3,-0.0
41,LH_SomMot_5,RH_SomMot_1,0.0
42,LH_SomMot_5,RH_DorsAttn_PrCv_1,-0.0
43,LH_SomMot_5,RH_SalVentAttn_TempOccPar_1,0.0
44,LH_SomMot_5,RH_SalVentAttn_TempOccPar_2,-0.0
45,LH_SomMot_5,RH_SalVentAttn_Med_2,0.0
46,LH_SomMot_5,RH_Cont_PFCl_2,-0.0
47,LH_SomMot_5,RH_Default_Temp_3,0.0
48,LH_SomMot_5,RH_Default_PFCv_2,-0.0
49,LH_SomMot_6,LH_DorsAttn_PrCv_1,-0.0
50,LH_SomMot_6,LH_SalVentAttn_Med_1,-0.0
51,LH_SomMot_6,LH_SalVentAttn_Med_2,0.0
52,LH_SomMot_6,LH_SalVentAttn_Med_3,-0.0
53,LH_SomMot_6,RH_SomMot_1,0.0
54,LH_SomMot_6,RH_SomMot_5,0.0
55,LH_SomMot_6,RH_DorsAttn_PrCv_1,-0.0
56,LH_SomMot_6,RH_SalVentAttn_TempOccPar_1,0.0
57,LH_SomMot_6,RH_SalVentAttn_Med_1,0.0
58,LH_SomMot_6,RH_SalVentAttn_Med_2,0.0
59,LH_SomMot_6,RH_Default_Temp_3,0.0
60,LH_SomMot_6,RH_Default_PFCv_2,-0.0
61,LH_SomMot_6,RH_Default_pCunPCC_2,-0.0
62,LH_DorsAttn_Post_1,LH_Cont_pCun_1,0.1793645853969858
63,LH_DorsAttn_Post_1,RH_Limbic_TempPole_1,0.0
64,LH_DorsAttn_Post_2,RH_Limbic_TempPole_1,0.0
65,LH_DorsAttn_Post_2,RH_Default_Temp_3,0.0
66,LH_DorsAttn_Post_3,LH_DorsAttn_Post_6,-0.0
67,LH_DorsAttn_Post_3,LH_SalVentAttn_Med_3,-0.0
68,LH_DorsAttn_Post_3,RH_Vis_2,0.0
69,LH_DorsAttn_Post_3,RH_Vis_7,0.0
70,LH_DorsAttn_Post_3,RH_Vis_8,-0.0
71,LH_DorsAttn_Post_3,RH_SomMot_7,0.0
72,LH_DorsAttn_Post_3,RH_DorsAttn_Post_5,-0.0
73,LH_DorsAttn_Post_3,RH_Limbic_TempPole_1,0.0
74,LH_DorsAttn_Post_3,RH_Default_Temp_3,0.0
75,LH_DorsAttn_Post_3,RH_Default_PFCdPFCm_1,-0.0
76,LH_DorsAttn_Post_3,RH_Default_PFCdPFCm_2,-0.07254054138111796
77,LH_DorsAttn_Post_4,LH_DorsAttn_PrCv_1,-0.0
78,LH_DorsAttn_Post_4,RH_DorsAttn_Post_3,-0.0
79,LH_DorsAttn_Post_4,RH_DorsAttn_PrCv_1,-0.0
80,LH_DorsAttn_Post_4,RH_SalVentAttn_TempOccPar_1,0.0
81,LH_DorsAttn_Post_4,RH_SalVentAttn_TempOccPar_2,-0.0
82,LH_DorsAttn_Post_4,RH_Limbic_TempPole_1,0.0
83,LH_DorsAttn_Post_4,RH_Cont_PFCl_2,-0.19760829811740183
84,LH_DorsAttn_Post_4,RH_Default_Temp_3,0.02403227720420395
85,LH_DorsAttn_Post_4,RH_Default_PFCv_2,-0.0
86,LH_DorsAttn_Post_4,RH_Default_PFCdPFCm_2,-0.0
87,LH_DorsAttn_Post_4,RH_Default_pCunPCC_2,-0.0
88,LH_DorsAttn_Post_5,LH_SalVentAttn_Med_3,-0.016790739301451005
89,LH_DorsAttn_Post_5,LH_Default_PFC_3,-0.0
90,LH_DorsAttn_Post_6,LH_DorsAttn_PrCv_1,-0.0
91,LH_DorsAttn_Post_6,LH_SalVentAttn_Med_1,-0.055952904642836865
92,LH_DorsAttn_Post_6,LH_SalVentAttn_Med_3,-0.0
93,LH_DorsAttn_Post_6,LH_Cont_Par_1,-0.0
94,LH_DorsAttn_Post_6,LH_Cont_PFCl_1,-0.0
95,LH_DorsAttn_Post_6,RH_Vis_1,0.0
96,LH_DorsAttn_Post_6,RH_DorsAttn_Post_3,0.0
97,LH_DorsAttn_Post_6,RH_DorsAttn_Post_4,-0.0
98,LH_DorsAttn_Post_6,RH_DorsAttn_PrCv_1,-0.03547670666901338
99,LH_DorsAttn_Post_6,RH_Cont_PFCl_2,-0.15317244614106681
100,LH_DorsAttn_PrCv_1,LH_SalVentAttn_Med_3,-0.0
101,LH_DorsAttn_PrCv_1,LH_Limbic_TempPole_1,-0.0
102,LH_DorsAttn_PrCv_1,LH_Default_Temp_1,0.0
103,LH_DorsAttn_PrCv_1,RH_Vis_1,0.0
104,LH_DorsAttn_PrCv_1,RH_Vis_2,-0.0
105,LH_DorsAttn_PrCv_1,RH_SomMot_2,-0.0
106,LH_DorsAttn_PrCv_1,RH_SomMot_3,-0.0
107,LH_DorsAttn_PrCv_1,RH_SomMot_4,0.0
108,LH_DorsAttn_PrCv_1,RH_SomMot_5,0.0
109,LH_DorsAttn_PrCv_1,RH_SomMot_7,-0.0
110,LH_DorsAttn_PrCv_1,RH_SomMot_8,0.0
111,LH_DorsAttn_PrCv_1,RH_DorsAttn_Post_2,-0.0
112,LH_DorsAttn_PrCv_1,RH_DorsAttn_Post_5,-0.14821201355207833
113,LH_DorsAttn_PrCv_1,RH_SalVentAttn_TempOccPar_2,-0.2199698684076124
114,LH_DorsAttn_PrCv_1,RH_SalVentAttn_FrOperIns_1,-0.0
115,LH_DorsAttn_PrCv_1,RH_Limbic_TempPole_1,-0.0
116,LH_DorsAttn_PrCv_1,RH_Default_Temp_2,0.0
117,LH_DorsAttn_PrCv_1,RH_Default_Temp_3,-0.05875102436067488
118,LH_DorsAttn_PrCv_1,RH_Default_PFCv_2,-0.09360128721780855
119,LH_DorsAttn_PrCv_1,RH_Default_PFCdPFCm_2,-0.0
120,LH_DorsAttn_FEF_1,RH_Default_PFCdPFCm_2,-0.0
121,LH_SalVentAttn_FrOperIns_1,LH_SalVentAttn_Med_3,-0.0
122,LH_SalVentAttn_FrOperIns_1,RH_SomMot_4,0.0
123,LH_SalVentAttn_FrOperIns_1,RH_SomMot_8,0.0
124,LH_SalVentAttn_Med_1,LH_SalVentAttn_Med_2,-0.0
125,LH_SalVentAttn_Med_1,LH_SalVentAttn_Med_3,-0.0038236972094205617
126,LH_SalVentAttn_Med_1,RH_SomMot_2,-0.0
127,LH_SalVentAttn_Med_1,RH_SomMot_7,-0.018787860736240548
128,LH_SalVentAttn_Med_1,RH_SomMot_8,-0.0
129,LH_SalVentAttn_Med_1,RH_DorsAttn_Post_5,-0.0
130,LH_SalVentAttn_Med_1,RH_SalVentAttn_Med_2,-0.0
131,LH_SalVentAttn_Med_2,LH_SalVentAttn_Med_3,-0.06523768864556483
132,LH_SalVentAttn_Med_3,RH_Vis_1,0.0
133,LH_SalVentAttn_Med_3,RH_SomMot_2,-0.0
134,LH_SalVentAttn_Med_3,RH_SomMot_3,-0.0
135,LH_SalVentAttn_Med_3,RH_SomMot_5,-0.0
136,LH_SalVentAttn_Med_3,RH_SomMot_7,-0.0
137,LH_SalVentAttn_Med_3,RH_SomMot_8,-0.0
138,LH_SalVentAttn_Med_3,RH_DorsAttn_Post_4,-0.0
139,LH_SalVentAttn_Med_3,RH_DorsAttn_Post_5,-0.0
140,LH_SalVentAttn_Med_3,RH_DorsAttn_PrCv_1,-0.0
141,LH_SalVentAttn_Med_3,RH_SalVentAttn_TempOccPar_2,-0.27656341644486204
142,LH_SalVentAttn_Med_3,RH_SalVentAttn_FrOperIns_1,-0.0006148255170121214
143,LH_SalVentAttn_Med_3,RH_SalVentAttn_Med_1,-0.06720701355894702
144,LH_SalVentAttn_Med_3,RH_SalVentAttn_Med_2,-0.0
145,LH_SalVentAttn_Med_3,RH_Cont_PFCl_2,-0.0
146,LH_Limbic_TempPole_1,RH_DorsAttn_Post_3,-0.0
147,LH_Limbic_TempPole_1,RH_DorsAttn_PrCv_1,0.0
148,LH_Limbic_TempPole_1,RH_Cont_PFCl_2,-0.0
149,LH_Cont_Par_1,LH_Default_PFC_3,-0.0
150,LH_Cont_Par_1,RH_Default_PFCdPFCm_1,-0.0
151,LH_Cont_Par_1,RH_Default_PFCdPFCm_2,-0.16540876476521585
152,LH_Cont_Par_1,RH_Default_pCunPCC_2,-0.0
153,LH_Cont_pCun_1,LH_Default_Par_1,0.06182836494339632
154,LH_Cont_pCun_1,LH_Default_PFC_3,-0.0
155,LH_Cont_pCun_1,RH_DorsAttn_PrCv_1,0.12415641968245339
