,node1,node2,beta
0,LH_Vis_1,LH_Vis_3,0.0939347613786063
1,LH_Vis_1,RH_SomMot_4,-0.1364310121611508
2,LH_Vis_2,LH_Default_pCunPCC_1,0.12717479084164385
3,LH_Vis_2,RH_Vis_2,-0.08927290559367217
4,LH_Vis_2,RH_Vis_7,-0.09589699889009903
5,LH_Vis_3,LH_Default_PFC_3,0.06822649406533512
6,LH_Vis_3,LH_Default_pCunPCC_1,-0.09233835932398765
7,LH_Vis_3,RH_Vis_7,-0.07095040553107823
8,LH_Vis_4,LH_Default_Temp_1,-0.11052859630811851
9,LH_Vis_4,LH_Default_Par_2,-0.06674192126493735
10,LH_Vis_4,LH_Default_PFC_2,-0.06726737019109535
11,LH_Vis_4,LH_Default_PFC_5,-0.17419066425048627
12,LH_Vis_4,LH_Default_PFC_6,-0.1639238012215369
13,LH_Vis_4,RH_Vis_4,0.06602298422950574
14,LH_Vis_4,RH_Cont_PFCl_3,0.6983901294346857
15,LH_Vis_6,RH_Default_pCunPCC_1,0.08312045366785922
16,LH_Vis_7,LH_Default_Temp_1,0.10210517304564516
17,LH_Vis_7,LH_Default_Par_1,0.08365601949540401
18,LH_Vis_8,LH_Default_PFC_5,0.10128915147607555
19,LH_Vis_8,LH_Default_pCunPCC_1,-0.14142037078669534
20,LH_Vis_9,LH_Default_pCunPCC_1,-0.2092847436178963
21,LH_Vis_9,RH_DorsAttn_Post_4,-0.16062287912816334
22,LH_SomMot_4,RH_Vis_1,0.0775406153630969
23,LH_SomMot_4,RH_DorsAttn_Post_1,0.08695869877536616
24,LH_SomMot_4,RH_SalVentAttn_TempOccPar_1,0.11330827956126573
25,LH_SomMot_5,LH_DorsAttn_Post_3,0.12031562372821014
26,LH_SomMot_5,RH_DorsAttn_Post_4,0.06789962457789597
27,LH_SomMot_5,RH_SalVentAttn_TempOccPar_2,-0.12556790168837478
28,LH_SomMot_6,LH_Default_pCunPCC_1,-0.07263930026705626
29,LH_DorsAttn_Post_1,RH_SomMot_4,-0.12123440843462152
30,LH_DorsAttn_Post_3,LH_Default_pCunPCC_1,-0.10419768923434707
31,LH_DorsAttn_Post_3,RH_Default_pCunPCC_2,0.0716811181014544
32,LH_DorsAttn_Post_4,RH_SomMot_1,-0.06911729124591742
33,LH_DorsAttn_Post_4,RH_SalVentAttn_TempOccPar_2,-0.12137046382372112
34,LH_DorsAttn_Post_5,LH_Default_PFC_3,-0.11153332886390269
35,LH_DorsAttn_Post_5,RH_Default_pCunPCC_2,-0.13605297956560536
36,LH_DorsAttn_Post_6,LH_Default_PFC_3,-0.08820447024001336
37,LH_DorsAttn_Post_6,RH_Default_pCunPCC_2,-0.07416943093192117
38,LH_DorsAttn_PrCv_1,RH_SalVentAttn_TempOccPar_2,-0.3711651092473887
39,LH_DorsAttn_PrCv_1,RH_SalVentAttn_FrOperIns_1,-0.11205579598557092
40,LH_DorsAttn_FEF_1,LH_Default_pCunPCC_1,-0.09274116399925147
41,LH_SalVentAttn_FrOperIns_1,LH_Default_pCunPCC_1,0.0628333959930437
42,LH_SalVentAttn_FrOperIns_1,LH_Default_pCunPCC_2,0.10651620076797308
43,LH_SalVentAttn_FrOperIns_1,RH_SomMot_6,0.08346870647588107
44,LH_SalVentAttn_Med_3,LH_Default_PFC_3,-0.11115973169712777
45,LH_Limbic_TempPole_1,RH_Cont_PFCl_2,-0.08632475113355749
46,LH_Limbic_TempPole_2,LH_Default_Par_2,0.5111304823608357
47,LH_Limbic_TempPole_2,LH_Default_PFC_5,0.401579282873051
48,LH_Limbic_TempPole_2,LH_Default_PFC_6,0.3575062117967906
49,LH_Cont_PFCl_1,RH_Cont_PFCl_2,-0.13054507645973473
50,LH_Default_Temp_1,RH_DorsAttn_Post_1,-0.21144017863185136
51,LH_Default_Temp_1,RH_SalVentAttn_TempOccPar_2,0.12074611239076695
52,LH_Default_Temp_2,RH_DorsAttn_PrCv_1,0.148662889762224
53,LH_Default_Temp_2,RH_SalVentAttn_TempOccPar_1,0.12136243420234114
54,LH_Default_Temp_2,RH_Default_Temp_3,-0.11045743389633705
55,LH_Default_Par_1,LH_Default_PFC_3,-0.08854036795283453
56,LH_Default_Par_1,RH_Vis_3,-0.06864367638187366
57,LH_Default_Par_1,RH_DorsAttn_Post_1,-0.06672814322306363
58,LH_Default_Par_1,RH_SalVentAttn_TempOccPar_1,-0.07799525347756818
59,LH_Default_Par_2,RH_Cont_Par_1,-0.19753621314331582
60,LH_Default_Par_2,RH_Cont_PFCl_3,-0.10996317506949194
61,LH_Default_PFC_1,RH_DorsAttn_PrCv_1,0.10154314126341053
62,LH_Default_PFC_2,RH_SalVentAttn_FrOperIns_1,0.06406689621005061
63,LH_Default_PFC_2,RH_Cont_PFCl_2,-0.15114884517962923
64,LH_Default_PFC_3,RH_DorsAttn_Post_3,-0.07201352197432442
65,LH_Default_PFC_3,RH_DorsAttn_Post_4,0.12279339953076833
66,LH_Default_PFC_3,RH_DorsAttn_Post_5,-0.1022021062128812
67,LH_Default_PFC_3,RH_DorsAttn_PrCv_1,-0.06947318275190482
68,LH_Default_PFC_3,RH_DorsAttn_FEF_1,-0.1123814440033298
69,LH_Default_PFC_3,RH_SalVentAttn_Med_1,0.11285247200563744
70,LH_Default_PFC_3,RH_SalVentAttn_Med_2,0.14052666544787049
71,LH_Default_PFC_3,RH_Limbic_OFC_1,-0.08366407223100022
72,LH_Default_PFC_3,RH_Cont_PFCl_2,-0.08061040232028062
73,LH_Default_PFC_4,LH_Default_PFC_7,0.5240328851873629
74,LH_Default_PFC_5,RH_Vis_4,-0.09238620078224227
75,LH_Default_PFC_5,RH_DorsAttn_PrCv_1,-0.13883774042193092
76,LH_Default_PFC_5,RH_SalVentAttn_TempOccPar_2,-0.07721759008680198
77,LH_Default_PFC_5,RH_SalVentAttn_FrOperIns_1,-0.06814362543964961
78,LH_Default_PFC_5,RH_SalVentAttn_Med_2,0.156235398388045
79,LH_Default_PFC_5,RH_Limbic_OFC_1,-0.30292549822112524
80,LH_Default_PFC_5,RH_Cont_PFCl_2,-0.13934382522235605
81,LH_Default_PFC_5,RH_Cont_PFCl_3,-0.08643311862549818
82,LH_Default_PFC_6,RH_Vis_4,-0.10286216256435618
83,LH_Default_PFC_6,RH_SalVentAttn_TempOccPar_2,0.08951958150843867
84,LH_Default_PFC_6,RH_Cont_PFCl_3,-0.11760919214132658
85,LH_Default_PFC_7,RH_DorsAttn_PrCv_1,-0.06575715156185362
86,LH_Default_PFC_7,RH_Cont_PFCl_2,-0.1835721393927684
87,LH_Default_PFC_7,RH_Cont_PFCl_3,-0.11831835119427801
88,LH_Default_pCunPCC_1,RH_Vis_6,-0.11359382124493783
89,LH_Default_pCunPCC_1,RH_Vis_7,-0.17740167227801878
90,LH_Default_pCunPCC_1,RH_Vis_8,-0.1535728021284696
91,LH_Default_pCunPCC_1,RH_SomMot_2,0.11988464801128818
92,LH_Default_pCunPCC_1,RH_SomMot_4,-0.09023328353823101
93,LH_Default_pCunPCC_1,RH_SomMot_5,0.06485042421520937
94,LH_Default_pCunPCC_1,RH_SomMot_6,0.07401722091823419
95,LH_Default_pCunPCC_1,RH_DorsAttn_Post_1,-0.15580460726307496
96,LH_Default_pCunPCC_1,RH_DorsAttn_Post_4,-0.12287295710022444
97,LH_Default_pCunPCC_2,RH_Vis_8,-0.10347850666528315
98,LH_Default_pCunPCC_2,RH_DorsAttn_Post_1,-0.08901330856416029
