,node1,node2,beta
0,LH_Vis_1,RH_Cont_pCun_1,-0.04854578678928508
1,LH_Vis_2,RH_Vis_1,0.03430553732045
2,LH_Vis_3,LH_DorsAttn_Post_3,-0.027305364270848783
3,LH_Vis_3,RH_Vis_7,-0.02787419310810785
4,LH_Vis_3,RH_DorsAttn_Post_4,-0.03530945721499434
5,LH_Vis_4,LH_SalVentAttn_PFCl_1,0.08846309593489582
6,LH_Vis_4,LH_Cont_Cing_1,0.10019875237027744
7,LH_Vis_4,RH_Cont_PFCl_3,0.08037826285408635
8,LH_Vis_4,RH_Cont_PFCmp_1,0.10270423955345634
9,LH_Vis_7,LH_Cont_pCun_1,0.08793596650725284
10,LH_Vis_7,RH_Vis_1,0.018598077979581146
11,LH_Vis_8,RH_Vis_1,0.018566769801775126
12,LH_Vis_9,LH_DorsAttn_Post_3,-0.02053410091610593
13,LH_Vis_9,RH_DorsAttn_Post_4,-0.02644553522300552
14,LH_SomMot_3,LH_DorsAttn_PrCv_1,-0.0332802379927451
15,LH_SomMot_4,RH_SalVentAttn_TempOccPar_1,-0.017693031205982087
16,LH_SomMot_4,RH_SalVentAttn_TempOccPar_2,-0.0271074841391127
17,LH_SomMot_4,RH_Default_Temp_2,0.018305065606086836
18,LH_SomMot_4,RH_Default_PFCv_2,-0.02331442900697864
19,LH_SomMot_5,RH_DorsAttn_PrCv_1,-0.03247201521186013
20,LH_SomMot_5,RH_SalVentAttn_TempOccPar_2,-0.03096341890957651
21,LH_SomMot_6,LH_SalVentAttn_FrOperIns_1,-0.02022126459637321
22,LH_SomMot_6,RH_DorsAttn_PrCv_1,-0.029046276620696525
23,LH_SomMot_6,RH_Default_PFCv_2,-0.028001134810891476
24,LH_DorsAttn_Post_1,LH_Cont_pCun_1,0.0804323296473538
25,LH_DorsAttn_Post_2,LH_DorsAttn_Post_4,-0.03932919919264549
26,LH_DorsAttn_Post_2,RH_Limbic_TempPole_1,-0.025485041370140345
27,LH_DorsAttn_Post_2,RH_Default_pCunPCC_2,-0.030213519770684268
28,LH_DorsAttn_Post_3,LH_DorsAttn_Post_6,-0.029440603904998745
29,LH_DorsAttn_Post_3,LH_SalVentAttn_FrOperIns_1,-0.021935959621190066
30,LH_DorsAttn_Post_3,LH_Default_Temp_1,0.029640285977090654
31,LH_DorsAttn_Post_3,RH_Vis_8,-0.03787383402542786
32,LH_DorsAttn_Post_3,RH_DorsAttn_Post_5,-0.03084703592922918
33,LH_DorsAttn_Post_3,RH_Limbic_TempPole_1,-0.0269899719061447
34,LH_DorsAttn_Post_3,RH_Default_PFCdPFCm_1,-0.02348246974692428
35,LH_DorsAttn_Post_3,RH_Default_PFCdPFCm_2,-0.03021709588541009
36,LH_DorsAttn_Post_4,LH_DorsAttn_PrCv_1,-0.029239309740465035
37,LH_DorsAttn_Post_4,LH_SalVentAttn_FrOperIns_1,-0.03284255859655433
38,LH_DorsAttn_Post_4,RH_DorsAttn_PrCv_1,-0.03753024101890612
39,LH_DorsAttn_Post_4,RH_SalVentAttn_TempOccPar_2,-0.04526544904112698
40,LH_DorsAttn_Post_4,RH_Limbic_TempPole_1,-0.019500154740870964
41,LH_DorsAttn_Post_4,RH_Cont_PFCl_2,-0.05421919024766544
42,LH_DorsAttn_Post_4,RH_Default_Temp_1,-0.029323294076329297
43,LH_DorsAttn_Post_4,RH_Default_Temp_3,0.02747319261660649
44,LH_DorsAttn_Post_4,RH_Default_PFCdPFCm_1,-0.021641418986711704
45,LH_DorsAttn_Post_4,RH_Default_PFCdPFCm_2,-0.02498250570134811
46,LH_DorsAttn_Post_4,RH_Default_pCunPCC_2,-0.03990116412215759
47,LH_DorsAttn_Post_5,LH_Limbic_TempPole_1,-0.022189469952736966
48,LH_DorsAttn_Post_5,RH_Vis_1,-0.021390677325133337
49,LH_DorsAttn_Post_5,RH_Default_pCunPCC_1,-0.037454970018609306
50,LH_DorsAttn_Post_6,LH_DorsAttn_PrCv_1,-0.05236957025719064
51,LH_DorsAttn_Post_6,LH_SalVentAttn_Med_1,-0.047566262295948326
52,LH_DorsAttn_Post_6,RH_DorsAttn_Post_4,-0.02516817795500218
53,LH_DorsAttn_Post_6,RH_DorsAttn_PrCv_1,-0.05627749257627247
54,LH_DorsAttn_Post_6,RH_Cont_PFCl_2,-0.06019050547050533
55,LH_DorsAttn_PrCv_1,LH_Limbic_TempPole_1,-0.029855708753155942
56,LH_DorsAttn_PrCv_1,LH_Cont_Par_1,0.05035454387714432
57,LH_DorsAttn_PrCv_1,LH_Cont_pCun_1,0.04405134040867234
58,LH_DorsAttn_PrCv_1,RH_SomMot_2,-0.022499234105602325
59,LH_DorsAttn_PrCv_1,RH_SomMot_3,-0.02324449816619785
60,LH_DorsAttn_PrCv_1,RH_SomMot_7,-0.021430458095835412
61,LH_DorsAttn_PrCv_1,RH_DorsAttn_Post_5,-0.04791508703620558
62,LH_DorsAttn_PrCv_1,RH_SalVentAttn_TempOccPar_2,-0.0920876862736215
63,LH_DorsAttn_PrCv_1,RH_Limbic_TempPole_1,-0.03177731627747013
64,LH_SalVentAttn_ParOper_1,LH_Cont_pCun_1,0.06465444241817245
65,LH_SalVentAttn_FrOperIns_1,RH_SomMot_8,-0.02434258371852247
66,LH_SalVentAttn_FrOperIns_1,RH_DorsAttn_Post_4,-0.0223232275994558
67,LH_SalVentAttn_PFCl_1,RH_SalVentAttn_TempOccPar_1,0.06630133049399163
68,LH_SalVentAttn_Med_3,RH_SalVentAttn_TempOccPar_2,-0.0527471929811825
69,LH_Limbic_TempPole_1,RH_DorsAttn_Post_3,-0.035303056510331714
70,LH_Limbic_TempPole_1,RH_DorsAttn_PrCv_1,-0.04050066382653985
71,LH_Limbic_TempPole_1,RH_SalVentAttn_TempOccPar_2,-0.022065453726551727
72,LH_Limbic_TempPole_1,RH_Cont_PFCl_2,-0.025070127325518325
73,LH_Cont_Par_1,RH_Default_Temp_1,-0.06783703872165059
