,node1,node2,beta
0,LH_VisCent_ExStr_1,RH_DefaultC_PHC_1,0.03430567108777561
1,LH_VisCent_ExStr_2,LH_SalVentAttnB_PFCl_1,0.08846308068398831
2,LH_VisCent_ExStr_2,LH_ContC_Cingp_1,0.10019873990427355
3,LH_VisCent_ExStr_2,RH_SalVentAttnB_PFCl_1,0.08037824660966028
4,LH_VisCent_ExStr_2,RH_SalVentAttnB_PFCmp_1,0.10270422188509823
5,LH_VisCent_ExStr_3,RH_DefaultC_PHC_1,0.018566526100496927
6,LH_VisPeri_ExStrInf_1,LH_DorsAttnA_SPL_1,-0.02730524765232086
7,LH_VisPeri_ExStrInf_1,RH_VisCent_ExStr_3,-0.027874112273752322
8,LH_VisPeri_ExStrInf_1,RH_DorsAttnA_SPL_1,-0.03530935165968032
9,LH_VisPeri_ExStrSup_1,LH_DorsAttnA_SPL_1,-0.020534240380589465
10,LH_VisPeri_ExStrSup_1,RH_DorsAttnA_SPL_1,-0.026445669308265272
11,LH_SomMotA_1,RH_SalVentAttnA_ParOper_1,-0.030963557597842573
12,LH_SomMotA_1,RH_ContA_PFCl_2,-0.03247218568983829
13,LH_SomMotA_2,LH_SalVentAttnA_Ins_1,-0.020221370252763993
14,LH_SomMotA_2,RH_ContA_PFCl_2,-0.02904627782995351
15,LH_SomMotA_2,RH_DefaultB_PFCv_2,-0.028001113183214715
16,LH_SomMotB_S2_2,LH_ContA_PFCl_2,-0.03328016800730882
17,LH_SomMotB_Cent_1,RH_SalVentAttnA_ParOper_1,-0.02710749387036314
18,LH_SomMotB_Cent_1,RH_DefaultB_PFCv_2,-0.0233144922767153
19,LH_SomMotB_Cent_1,RH_TempPar_1,0.018304947459828323
20,LH_SomMotB_Cent_1,RH_TempPar_3,-0.01769315446066962
21,LH_DorsAttnA_TempOcc_1,LH_ContC_pCun_1,0.08043234618391591
22,LH_DorsAttnA_ParOcc_1,LH_ContC_pCun_1,0.08793612567420048
23,LH_DorsAttnA_ParOcc_1,RH_DefaultC_PHC_1,0.018598239310555174
24,LH_DorsAttnA_SPL_1,LH_DorsAttnB_PostC_3,-0.029440531595997375
25,LH_DorsAttnA_SPL_1,LH_SalVentAttnA_Ins_1,-0.02193590841466946
26,LH_DorsAttnA_SPL_1,LH_DefaultB_Temp_1,0.029640408718910223
27,LH_DorsAttnA_SPL_1,RH_VisPeri_ExStrSup_1,-0.037873700309501816
28,LH_DorsAttnA_SPL_1,RH_DorsAttnB_PostC_2,-0.030846922700296237
29,LH_DorsAttnA_SPL_1,RH_LimbicA_TempPole_1,-0.026989863420961133
30,LH_DorsAttnA_SPL_1,RH_DefaultA_PFCm_1,-0.023482257609496248
31,LH_DorsAttnA_SPL_1,RH_DefaultB_PFCd_1,-0.030216898889748284
32,LH_DorsAttnB_PostC_1,LH_DorsAttnB_PostC_2,-0.039329317872223615
33,LH_DorsAttnB_PostC_1,RH_LimbicA_TempPole_1,-0.025485442077450213
34,LH_DorsAttnB_PostC_1,RH_DefaultA_pCunPCC_1,-0.03021388688429559
35,LH_DorsAttnB_PostC_2,LH_SalVentAttnA_Ins_1,-0.03284257099542864
36,LH_DorsAttnB_PostC_2,LH_ContA_PFCl_2,-0.029239328317286675
37,LH_DorsAttnB_PostC_2,RH_SalVentAttnA_ParOper_1,-0.04526539282552588
38,LH_DorsAttnB_PostC_2,RH_LimbicA_TempPole_1,-0.019500215060092575
39,LH_DorsAttnB_PostC_2,RH_ContA_PFCl_1,-0.05421915825373415
40,LH_DorsAttnB_PostC_2,RH_ContA_PFCl_2,-0.037530309748418346
41,LH_DorsAttnB_PostC_2,RH_ContB_Temp_1,-0.02932333110105755
42,LH_DorsAttnB_PostC_2,RH_DefaultA_pCunPCC_1,-0.03990104160176589
43,LH_DorsAttnB_PostC_2,RH_DefaultA_PFCm_1,-0.021641415433524613
44,LH_DorsAttnB_PostC_2,RH_DefaultB_PFCd_1,-0.024982492891994248
45,LH_DorsAttnB_PostC_2,RH_TempPar_2,0.027473009354041292
46,LH_DorsAttnB_PostC_3,LH_SalVentAttnB_PFCmp_1,-0.04756611229342821
47,LH_DorsAttnB_PostC_3,LH_ContA_PFCl_2,-0.052369508597645
48,LH_DorsAttnB_PostC_3,RH_DorsAttnA_SPL_1,-0.0251679930832619
49,LH_DorsAttnB_PostC_3,RH_ContA_PFCl_1,-0.060190378061070623
50,LH_DorsAttnB_PostC_3,RH_ContA_PFCl_2,-0.05627740613652014
51,LH_SalVentAttnA_ParOper_1,LH_ContC_pCun_1,0.06465451605706275
52,LH_SalVentAttnA_Ins_1,RH_SomMotA_4,-0.024342282110966527
53,LH_SalVentAttnA_Ins_1,RH_DorsAttnA_SPL_1,-0.022323034497356425
54,LH_SalVentAttnA_FrMed_1,RH_SalVentAttnA_ParOper_1,-0.05274700302061762
55,LH_SalVentAttnB_PFCl_1,RH_TempPar_3,0.06630147801163686
56,LH_LimbicA_TempPole_1,LH_ContA_PFCl_2,-0.0298557962635369
57,LH_LimbicA_TempPole_1,LH_ContC_pCun_2,-0.022189893772784183
58,LH_LimbicA_TempPole_1,RH_SalVentAttnA_ParOper_1,-0.022065266317457772
59,LH_LimbicA_TempPole_1,RH_ContA_IPS_1,-0.03530301545914099
60,LH_LimbicA_TempPole_1,RH_ContA_PFCl_1,-0.025069964468252187
61,LH_LimbicA_TempPole_1,RH_ContA_PFCl_2,-0.040500585935518404
62,LH_ContA_IPS_1,LH_ContA_PFCl_2,0.05035448348427897
63,LH_ContA_IPS_1,RH_ContB_Temp_1,-0.06783693948951076
64,LH_ContA_PFCl_2,LH_ContC_pCun_1,0.0440512287047071
65,LH_ContA_PFCl_2,RH_SomMotA_3,-0.021430665726156817
66,LH_ContA_PFCl_2,RH_SomMotB_S2_1,-0.022499601473329783
67,LH_ContA_PFCl_2,RH_SomMotB_S2_2,-0.023244860166029523
68,LH_ContA_PFCl_2,RH_DorsAttnB_PostC_2,-0.04791528001802265
69,LH_ContA_PFCl_2,RH_SalVentAttnA_ParOper_1,-0.09208793070286499
70,LH_ContA_PFCl_2,RH_LimbicA_TempPole_1,-0.03177769895576855
71,LH_ContC_pCun_1,LH_TempPar_1,0.07280977621955552
72,LH_ContC_pCun_1,RH_SalVentAttnA_ParOper_1,0.06835557432159158
73,LH_ContC_pCun_1,RH_ContA_IPS_1,0.048537049068715844
74,LH_ContC_pCun_1,RH_ContA_PFCl_1,0.08628557764330469
75,LH_ContC_pCun_1,RH_ContA_PFCl_2,0.050459657267217954
76,LH_ContC_pCun_1,RH_TempPar_1,0.05254643338790468
77,LH_ContC_pCun_1,RH_TempPar_2,0.020686464989436104
78,LH_ContC_pCun_1,RH_TempPar_3,0.11084614766355719
79,LH_ContC_pCun_2,RH_DefaultC_Rsp_1,-0.03745544086949008
80,LH_ContC_pCun_2,RH_DefaultC_PHC_1,-0.02139134164076958
81,LH_ContC_Cingp_1,LH_TempPar_1,0.07922772887511831
82,LH_ContC_Cingp_1,RH_VisCent_ExStr_2,0.0908153645889343
83,LH_ContC_Cingp_1,RH_SalVentAttnB_PFCl_1,0.09427979455260888
84,LH_ContC_Cingp_1,RH_ContA_PFCl_1,0.10385973545424658
85,LH_ContC_Cingp_1,RH_DefaultB_PFCv_2,0.06670634529158352
86,LH_ContC_Cingp_1,RH_TempPar_1,0.06128565064340835
87,LH_ContC_Cingp_1,RH_TempPar_2,0.05054171184577616
88,LH_ContC_Cingp_1,RH_TempPar_3,0.11523798718136992
89,LH_DefaultA_PFCd_1,LH_DefaultB_PFCd_1,-0.06591937376538838
90,LH_DefaultA_PFCd_1,RH_DefaultB_PFCd_1,-0.10194925382312943
91,LH_DefaultB_Temp_1,RH_DorsAttnA_TempOcc_1,0.020766562950259602
92,LH_DefaultB_Temp_1,RH_DorsAttnA_ParOcc_1,-0.026912598302025942
93,LH_DefaultB_Temp_2,RH_DorsAttnA_ParOcc_1,-0.024354701389113016
94,LH_DefaultB_IPL_1,RH_DefaultA_pCunPCC_1,-0.056084918572105485
95,LH_DefaultB_PFCv_2,RH_DorsAttnB_PostC_2,-0.028515085544261524
96,LH_DefaultC_PHC_1,RH_ContC_pCun_1,-0.048546479570086884
97,RH_VisCent_ExStr_1,RH_DefaultC_PHC_1,0.031253058731970686
98,RH_VisPeri_ExStrInf_1,RH_DorsAttnA_SPL_1,-0.026055346999584884
99,RH_VisPeri_ExStrSup_1,RH_DorsAttnA_SPL_1,-0.04523892398394047
100,RH_SomMotA_2,RH_DorsAttnB_PostC_2,0.02218858112831997
101,RH_SomMotA_2,RH_ContA_PFCl_2,-0.018970384223701686
102,RH_SomMotA_3,RH_ContA_PFCl_2,-0.05342706608768531
103,RH_SomMotA_4,RH_SalVentAttnA_ParOper_1,-0.028593148437186036
104,RH_SomMotA_4,RH_ContA_PFCl_2,-0.03225096932605873
105,RH_SomMotA_4,RH_DefaultA_pCunPCC_1,-0.028595791075537814
106,RH_SomMotA_4,RH_DefaultB_PFCv_2,-0.03213487072701978
107,RH_SomMotB_Cent_1,RH_LimbicA_TempPole_1,-0.020188012512559927
108,RH_DorsAttnA_TempOcc_1,RH_TempPar_1,0.026025805628035817
109,RH_DorsAttnA_SPL_1,RH_DorsAttnB_PostC_2,-0.0207102949516176
110,RH_DorsAttnB_PostC_1,RH_DefaultA_pCunPCC_1,-0.044044846755659485
111,RH_SalVentAttnA_Ins_1,RH_TempPar_3,0.11375700581925642
112,RH_SalVentAttnB_IPL_1,RH_ContA_PFCl_1,0.05239595362429927
113,RH_SalVentAttnB_IPL_1,RH_ContA_PFCl_2,0.03380557681797171
114,RH_SalVentAttnB_IPL_1,RH_TempPar_3,0.08861893444135421
115,RH_SalVentAttnB_PFCl_1,RH_TempPar_3,0.07716515701341324
116,RH_SalVentAttnB_PFCmp_1,RH_TempPar_3,0.07931489288190732
117,RH_LimbicA_TempPole_1,RH_ContA_IPS_1,-0.039676854570045425
118,RH_ContA_PFCl_1,RH_ContB_PFClv_1,0.09122163339038618
119,RH_ContC_Cingp_1,RH_TempPar_1,0.045996121542550915
120,RH_ContC_Cingp_1,RH_TempPar_2,0.03265001453190698
121,RH_ContC_Cingp_1,RH_TempPar_3,0.09455963232488719
122,RH_DefaultA_IPL_1,RH_DefaultB_PFCv_1,0.10248968155248891
