,node1,node2,beta
0,LH_Vis_2,LH_Vis_4,-0.18291561049081112
1,LH_Vis_2,LH_Vis_5,-0.3988210926184967
2,LH_Vis_2,RH_SalVentAttn_Med_1,0.10168949614363935
3,LH_Vis_4,LH_SalVentAttn_PFCl_1,0.0960268630281308
4,LH_Vis_4,LH_Default_PFC_2,-0.1467104192816628
5,LH_Vis_4,RH_SalVentAttn_Med_1,0.06987893991857672
6,LH_Vis_4,RH_Cont_PFCl_3,0.22419868682493274
7,LH_Vis_4,RH_Default_Temp_1,-0.14043080986924278
8,LH_Vis_5,LH_SalVentAttn_ParOper_1,-0.06299797726737591
9,LH_Vis_5,LH_SalVentAttn_Med_1,0.06572064257343312
10,LH_Vis_5,LH_Default_PFC_3,-0.07722660207750913
11,LH_Vis_5,RH_SalVentAttn_Med_1,0.33037081582854216
12,LH_Vis_5,RH_Cont_PFCl_3,0.21447967176887153
13,LH_Vis_5,RH_Cont_PFCmp_1,0.09146205179747416
14,LH_Vis_6,LH_Cont_PFCl_1,0.17701019554942427
15,LH_Vis_6,RH_Vis_7,0.17416902020370434
16,LH_Vis_6,RH_Cont_PFCl_2,0.15644571829560894
17,LH_Vis_6,RH_Cont_PFCl_3,0.2054462105997738
18,LH_Vis_8,LH_Vis_9,0.07599740201094099
19,LH_Vis_8,RH_Vis_8,0.0897429468031419
20,LH_SomMot_1,LH_Limbic_OFC_1,0.24387765523565322
21,LH_SomMot_3,RH_Default_pCunPCC_2,-0.1031716178582107
22,LH_SomMot_5,LH_DorsAttn_Post_2,-0.18167458087121635
23,LH_SomMot_5,LH_DorsAttn_Post_3,-0.2994995637257416
24,LH_SomMot_5,LH_DorsAttn_Post_5,-0.11937592136930229
25,LH_SomMot_5,LH_Cont_pCun_1,-0.2074444249209411
26,LH_SomMot_5,RH_DorsAttn_Post_3,-0.2947751460402812
27,LH_SomMot_5,RH_DorsAttn_Post_4,-0.1849751291724265
28,LH_SomMot_5,RH_SalVentAttn_TempOccPar_2,-0.13323867814550677
29,LH_SomMot_6,LH_Cont_pCun_1,-0.06616728050670086
30,LH_SomMot_6,LH_Default_pCunPCC_2,-0.18934558785390934
31,LH_SomMot_6,RH_Cont_Cing_1,-0.09518300071437914
32,LH_SomMot_6,RH_Cont_pCun_1,0.252693886970476
33,LH_SomMot_6,RH_Default_pCunPCC_2,-0.06203884685110271
34,LH_DorsAttn_Post_1,LH_Default_Par_2,0.468552416653944
35,LH_DorsAttn_Post_1,LH_Default_PFC_6,0.17053206821964598
36,LH_DorsAttn_Post_1,LH_Default_PFC_7,0.16436800195305995
37,LH_DorsAttn_Post_1,RH_Vis_5,0.05991354768601844
38,LH_DorsAttn_Post_6,RH_SalVentAttn_TempOccPar_2,-0.1392322525298654
39,LH_DorsAttn_PrCv_1,LH_Default_PFC_3,-0.0658166099865953
40,LH_DorsAttn_PrCv_1,RH_DorsAttn_Post_1,0.0567749452298206
41,LH_DorsAttn_FEF_1,RH_DorsAttn_Post_1,0.07743679880616092
42,LH_SalVentAttn_ParOper_1,LH_Default_Par_1,0.12615728934388404
43,LH_SalVentAttn_ParOper_1,RH_DorsAttn_Post_1,0.06244185826371754
44,LH_SalVentAttn_FrOperIns_1,RH_SomMot_6,-0.13970192493871256
