,node1,node2,beta
0,LH_Vis_1,LH_Limbic_OFC_1,0.0
1,LH_Vis_2,LH_Vis_5,-0.6334305044061426
2,LH_Vis_2,LH_Vis_7,0.0011797137699840253
3,LH_Vis_2,LH_Vis_9,0.026278263773623443
4,LH_Vis_2,LH_SomMot_6,0.0
5,LH_Vis_2,LH_SalVentAttn_Med_2,0.0
6,LH_Vis_2,RH_Vis_3,0.0
7,LH_Vis_2,RH_Vis_6,0.0
8,LH_Vis_2,RH_SomMot_5,0.003112971916092432
9,LH_Vis_2,RH_DorsAttn_Post_1,-0.0
10,LH_Vis_2,RH_DorsAttn_Post_3,0.0
11,LH_Vis_2,RH_DorsAttn_PrCv_1,0.0
12,LH_Vis_2,RH_SalVentAttn_TempOccPar_1,-0.0
13,LH_Vis_2,RH_SalVentAttn_Med_1,0.0
14,LH_Vis_2,RH_Limbic_TempPole_1,0.0
15,LH_Vis_3,LH_Vis_7,0.07263345017181103
16,LH_Vis_3,LH_DorsAttn_Post_1,-0.0
17,LH_Vis_3,LH_Limbic_OFC_1,0.0
18,LH_Vis_3,LH_Limbic_TempPole_1,0.0
19,LH_Vis_3,LH_Limbic_TempPole_2,0.0
20,LH_Vis_3,RH_Vis_3,0.0
21,LH_Vis_3,RH_SomMot_5,0.0
22,LH_Vis_3,RH_DorsAttn_Post_3,-0.0
23,LH_Vis_3,RH_Limbic_TempPole_1,0.0
24,LH_Vis_4,LH_SalVentAttn_PFCl_1,0.10878711854071997
25,LH_Vis_4,LH_Default_PFC_2,-0.5725935624792122
26,LH_Vis_4,RH_SalVentAttn_FrOperIns_1,0.0
27,LH_Vis_4,RH_Cont_PFCl_3,0.4192651713960312
28,LH_Vis_4,RH_Cont_PFCmp_1,-0.0
29,LH_Vis_5,LH_SalVentAttn_PFCl_1,0.0
30,LH_Vis_5,LH_SalVentAttn_Med_1,0.0
31,LH_Vis_5,LH_Limbic_OFC_1,0.0
32,LH_Vis_5,RH_Cont_PFCl_1,0.0
33,LH_Vis_5,RH_Cont_PFCl_3,0.05315152474214659
34,LH_Vis_5,RH_Cont_PFCmp_1,-0.0
35,LH_Vis_6,LH_Vis_7,0.18693951131506192
36,LH_Vis_6,LH_DorsAttn_Post_1,0.008310664016330611
37,LH_Vis_6,LH_Limbic_OFC_1,0.0
38,LH_Vis_6,LH_Limbic_TempPole_1,0.0
39,LH_Vis_6,LH_Limbic_TempPole_2,0.0
40,LH_Vis_6,LH_Cont_Par_1,-0.0
41,LH_Vis_6,LH_Default_Par_1,-0.0
42,LH_Vis_6,RH_Vis_3,0.0917153820984293
43,LH_Vis_6,RH_DorsAttn_Post_1,0.0
44,LH_Vis_6,RH_DorsAttn_Post_3,-0.0
45,LH_Vis_6,RH_SalVentAttn_TempOccPar_1,-0.0
46,LH_Vis_6,RH_Limbic_TempPole_1,0.0
47,LH_Vis_7,LH_Vis_8,0.0
48,LH_Vis_7,LH_Vis_9,0.0
49,LH_Vis_7,LH_SomMot_5,0.0
50,LH_Vis_7,LH_SomMot_6,0.0
51,LH_Vis_7,LH_DorsAttn_Post_3,0.0
52,LH_Vis_7,LH_DorsAttn_Post_4,-0.0
53,LH_Vis_7,LH_DorsAttn_Post_6,0.0
54,LH_Vis_7,LH_Limbic_OFC_1,0.0
55,LH_Vis_7,RH_Vis_2,0.0
56,LH_Vis_7,RH_Vis_6,0.0
57,LH_Vis_7,RH_Vis_7,0.0
