,node1,node2,beta
0,LH_Vis_3,LH_Vis_5,0.013671138992211103
1,LH_Vis_3,LH_Vis_8,0.018907125091831827
2,LH_Vis_3,LH_Default_PFC_5,-0.00520117434335927
3,LH_Vis_3,RH_Vis_5,0.008070808983127032
4,LH_Vis_3,RH_Vis_8,0.01223341796502975
5,LH_Vis_3,RH_Default_PFCdPFCm_2,-0.01478415905796335
6,LH_Vis_4,LH_Vis_6,-0.010406372752841911
7,LH_Vis_4,LH_SalVentAttn_ParOper_1,-0.014542765951438585
8,LH_Vis_4,RH_Vis_6,-0.015117666027493606
9,LH_Vis_5,LH_Vis_7,0.023564144280689606
10,LH_Vis_5,LH_DorsAttn_Post_5,0.027728843197406462
11,LH_Vis_5,LH_SalVentAttn_FrOperIns_2,0.01083396626688565
12,LH_Vis_5,LH_SalVentAttn_PFCl_1,0.022851461485181048
13,LH_Vis_5,RH_Vis_8,0.010534634262428424
14,LH_Vis_6,RH_Default_Temp_1,-0.007662097929747102
15,LH_Vis_6,RH_Default_PFCv_2,-0.007499190576678005
16,LH_Vis_6,RH_Default_PFCdPFCm_1,0.007466175634255209
17,LH_Vis_6,RH_Default_PFCdPFCm_2,-0.012944132827398837
18,LH_Vis_6,RH_Default_pCunPCC_2,0.006177387688482404
19,LH_Vis_7,LH_Vis_8,0.028672946956917807
20,LH_Vis_7,LH_Default_PFC_5,0.005300886005313984
21,LH_Vis_8,LH_SalVentAttn_ParOper_1,-0.014938462410853262
22,LH_Vis_8,RH_Cont_PFCmp_1,-0.012708713444702261
23,LH_Vis_8,RH_Default_PFCv_2,-0.0058048287863468944
24,LH_Vis_9,LH_Default_pCunPCC_1,-0.005996677025429778
25,LH_Vis_9,RH_DorsAttn_Post_4,-0.00974653779195801
26,LH_Vis_9,RH_Default_PFCv_2,-0.009068304449939507
27,LH_Vis_9,RH_Default_PFCdPFCm_2,-0.005919870812546518
28,LH_SomMot_5,LH_Default_pCunPCC_1,0.007921497641985204
29,LH_DorsAttn_Post_1,LH_DorsAttn_Post_3,0.008269194173010069
30,LH_DorsAttn_Post_1,LH_Cont_Par_1,0.015632496358548773
31,LH_DorsAttn_Post_2,LH_DorsAttn_Post_5,0.020419185547188204
32,LH_DorsAttn_Post_4,RH_Default_pCunPCC_1,-0.006907289487169862
33,LH_DorsAttn_Post_5,LH_SalVentAttn_FrOperIns_2,0.010572674372116148
34,LH_DorsAttn_Post_5,LH_Cont_Par_1,0.016190394665747627
35,LH_DorsAttn_Post_5,LH_Default_PFC_5,-0.011490707357306923
36,LH_DorsAttn_Post_5,LH_Default_pCunPCC_1,-0.007722434342142344
37,LH_DorsAttn_Post_5,LH_Default_pCunPCC_2,-0.006425265932550151
38,LH_DorsAttn_Post_5,RH_Cont_PFCl_2,0.020743042712602307
39,LH_DorsAttn_Post_5,RH_Default_PFCdPFCm_1,-0.00874261416867452
40,LH_DorsAttn_Post_5,RH_Default_PFCdPFCm_2,-0.010450195371378944
41,LH_DorsAttn_Post_5,RH_Default_pCunPCC_2,-0.012780433224372556
42,LH_DorsAttn_PrCv_1,LH_Default_Par_1,0.019469858693721656
43,LH_DorsAttn_PrCv_1,RH_SalVentAttn_TempOccPar_2,-0.01504818531546612
44,LH_DorsAttn_PrCv_1,RH_Cont_Par_1,-0.013052644484835191
45,LH_DorsAttn_FEF_1,LH_Default_pCunPCC_1,-0.0051306135924532766
46,LH_SalVentAttn_ParOper_1,RH_Vis_7,-0.015859791593003974
47,LH_SalVentAttn_ParOper_1,RH_DorsAttn_Post_4,-0.009420321188191222
48,LH_SalVentAttn_FrOperIns_2,LH_Default_Par_1,0.014569483168445694
49,LH_Limbic_OFC_1,LH_Default_PFC_1,0.018791011139263708
50,LH_Limbic_OFC_1,RH_Cont_Cing_1,0.017311932120453184
51,LH_Cont_Par_1,LH_Default_Par_1,0.027482778619904363
52,LH_Cont_Par_1,RH_Cont_Par_1,-0.015635300129147718
53,LH_Cont_PFCl_1,LH_Default_PFC_7,0.007799628058727816
54,LH_Cont_PFCl_1,RH_Cont_Par_1,-0.011842640162605245
55,LH_Cont_Cing_1,RH_Default_PFCv_1,0.014590480545719289
56,LH_Default_Temp_1,RH_Default_PFCv_1,0.01516297661702137
57,LH_Default_Temp_2,LH_Default_PFC_1,0.017616185251008214
58,LH_Default_Temp_2,LH_Default_PFC_2,0.012908239734806148
59,LH_Default_Par_1,RH_DorsAttn_PrCv_1,0.016883926203906975
60,LH_Default_Par_2,LH_Default_PFC_4,0.011617866801467765
61,LH_Default_Par_2,LH_Default_PFC_7,-0.014782999400667244
62,LH_Default_Par_2,RH_Default_PFCv_1,0.013985986986199987
63,LH_Default_PFC_1,LH_Default_PFC_5,0.006598655201774134
64,LH_Default_PFC_1,RH_Default_PFCv_1,0.0235710267488783
65,LH_Default_PFC_2,RH_Vis_5,-0.011248294191910018
66,LH_Default_PFC_2,RH_SalVentAttn_TempOccPar_2,-0.0051434509844701486
67,LH_Default_PFC_2,RH_Cont_Par_1,-0.01679623090640745
68,LH_Default_PFC_3,LH_Default_PFC_7,-0.011851760547337515
69,LH_Default_PFC_3,RH_Default_PFCdPFCm_3,-0.010588795721389276
70,LH_Default_PFC_4,RH_Default_PFCv_1,0.02139864141626521
