,node1,node2,beta
0,LH_VisCent_ExStr_2,LH_VisPeri_StriCal_1,-0.010406372752841895
1,LH_VisCent_ExStr_2,LH_SalVentAttnA_ParOper_1,-0.01454276595143857
2,LH_VisCent_ExStr_2,RH_VisPeri_ExStrInf_1,-0.015117666027493554
3,LH_VisCent_Striate_1,LH_VisPeri_ExStrInf_1,0.013671138992211123
4,LH_VisCent_Striate_1,LH_DorsAttnA_ParOcc_1,0.023564144280689626
5,LH_VisCent_Striate_1,LH_SalVentAttnA_Ins_2,0.010833966266885651
6,LH_VisCent_Striate_1,LH_SalVentAttnB_PFCl_1,0.022851461485181034
7,LH_VisCent_Striate_1,LH_ContC_pCun_2,0.027728843197406428
8,LH_VisCent_Striate_1,RH_VisPeri_ExStrSup_1,0.010534634262428422
9,LH_VisCent_ExStr_3,LH_VisPeri_ExStrInf_1,0.01890712509183182
10,LH_VisCent_ExStr_3,LH_DorsAttnA_ParOcc_1,0.028672946956917723
11,LH_VisCent_ExStr_3,LH_SalVentAttnA_ParOper_1,-0.014938462410853308
12,LH_VisCent_ExStr_3,RH_SalVentAttnB_PFCmp_1,-0.012708713444702313
13,LH_VisCent_ExStr_3,RH_DefaultB_PFCv_2,-0.005804828786346902
14,LH_VisPeri_ExStrInf_1,LH_DefaultB_PFCd_1,-0.005201174343359276
15,LH_VisPeri_ExStrInf_1,RH_VisPeri_StriCal_1,0.008070808983127087
16,LH_VisPeri_ExStrInf_1,RH_VisPeri_ExStrSup_1,0.012233417965029785
17,LH_VisPeri_ExStrInf_1,RH_DefaultB_PFCd_1,-0.014784159057963334
18,LH_VisPeri_StriCal_1,RH_ContB_Temp_1,-0.0076620979297470915
19,LH_VisPeri_StriCal_1,RH_DefaultA_pCunPCC_1,0.006177387688482464
20,LH_VisPeri_StriCal_1,RH_DefaultA_PFCm_1,0.007466175634255189
21,LH_VisPeri_StriCal_1,RH_DefaultB_PFCd_1,-0.01294413282739885
22,LH_VisPeri_StriCal_1,RH_DefaultB_PFCv_2,-0.007499190576678062
23,LH_VisPeri_ExStrSup_1,LH_DefaultC_Rsp_1,-0.005996677025429784
24,LH_VisPeri_ExStrSup_1,RH_DorsAttnA_SPL_1,-0.00974653779195795
25,LH_VisPeri_ExStrSup_1,RH_DefaultB_PFCd_1,-0.005919870812546512
26,LH_VisPeri_ExStrSup_1,RH_DefaultB_PFCv_2,-0.009068304449939524
27,LH_SomMotA_1,LH_DefaultC_Rsp_1,0.007921497641985173
28,LH_DorsAttnA_TempOcc_1,LH_DorsAttnA_SPL_1,0.008269194173010029
29,LH_DorsAttnA_TempOcc_1,LH_ContA_IPS_1,0.015632496358548773
30,LH_DorsAttnA_ParOcc_1,LH_DefaultB_PFCd_1,0.005300886005314009
31,LH_DorsAttnB_PostC_1,LH_ContC_pCun_2,0.02041918554718814
32,LH_DorsAttnB_PostC_2,RH_DefaultC_Rsp_1,-0.006907289487169866
33,LH_DorsAttnB_FEF_1,LH_DefaultC_Rsp_1,-0.005130613592453289
34,LH_SalVentAttnA_ParOper_1,RH_VisCent_ExStr_3,-0.015859791593003998
35,LH_SalVentAttnA_ParOper_1,RH_DorsAttnA_SPL_1,-0.009420321188191253
36,LH_SalVentAttnA_Ins_2,LH_ContC_pCun_2,0.010572674372116179
37,LH_SalVentAttnA_Ins_2,LH_TempPar_1,0.014569483168445693
38,LH_LimbicB_OFC_1,LH_DefaultB_PFCv_1,0.01879101113926371
39,LH_LimbicB_OFC_1,RH_ContC_Cingp_1,0.017311932120453188
40,LH_ContA_IPS_1,LH_ContC_pCun_2,0.016190394665747607
41,LH_ContA_IPS_1,LH_TempPar_1,0.027482778619904315
42,LH_ContA_IPS_1,RH_SalVentAttnB_IPL_1,-0.015635300129147718
