,node1,node2,beta
0,LH_Vis_2,LH_SalVentAttn_FrOperIns_2,9.835411245477753e-05
1,LH_Vis_2,RH_Cont_PFCl_3,7.362287208439337e-05
2,LH_Vis_3,LH_Vis_8,9.751731748044027e-05
3,LH_Vis_3,LH_SalVentAttn_FrOperIns_2,8.947858707868902e-05
4,LH_Vis_3,LH_Default_PFC_5,-5.8686939041994175e-05
5,LH_Vis_3,RH_Vis_8,9.703096373693989e-05
6,LH_Vis_3,RH_Default_PFCdPFCm_2,-7.922026813934458e-05
7,LH_Vis_4,LH_SalVentAttn_ParOper_1,-5.9354948871626476e-05
8,LH_Vis_5,LH_SalVentAttn_FrOperIns_2,7.937473930445431e-05
9,LH_Vis_5,LH_SalVentAttn_PFCl_1,9.32691152997978e-05
10,LH_Vis_5,RH_Cont_PFCl_3,7.731558956932434e-05
11,LH_Vis_6,LH_Default_PFC_5,-7.394399849206651e-05
12,LH_Vis_6,LH_Default_pCunPCC_1,-7.570002903203128e-05
13,LH_Vis_6,RH_Default_PFCv_2,-7.343485929624927e-05
14,LH_Vis_6,RH_Default_PFCdPFCm_2,-0.00010076666126279648
15,LH_Vis_7,LH_Vis_8,0.00011095690949828189
16,LH_Vis_9,LH_DorsAttn_Post_1,-6.085711510275125e-05
17,LH_Vis_9,LH_DorsAttn_PrCv_1,-5.988569429725711e-05
18,LH_Vis_9,LH_Default_pCunPCC_1,-6.10472656461052e-05
19,LH_Vis_9,RH_DorsAttn_Post_4,-6.150628158591728e-05
20,LH_Vis_9,RH_Default_PFCv_2,-6.452453698549387e-05
21,LH_SomMot_5,RH_Default_PFCdPFCm_2,-6.0726362044939514e-05
22,LH_DorsAttn_Post_1,LH_DorsAttn_Post_3,9.894139356075752e-05
23,LH_DorsAttn_Post_1,LH_Cont_Par_1,0.00010786501408913232
24,LH_DorsAttn_Post_1,RH_DorsAttn_Post_3,8.838459422702532e-05
25,LH_DorsAttn_Post_2,LH_DorsAttn_Post_5,7.714276228912692e-05
26,LH_DorsAttn_Post_2,LH_SalVentAttn_FrOperIns_2,8.365940459343088e-05
27,LH_DorsAttn_Post_2,LH_Cont_Par_1,8.21086981359288e-05
28,LH_DorsAttn_Post_3,LH_Default_pCunPCC_1,-6.669234137886407e-05
29,LH_DorsAttn_Post_3,RH_DorsAttn_Post_3,0.00011782321831779819
30,LH_DorsAttn_Post_3,RH_DorsAttn_Post_4,8.559792540715253e-05
31,LH_DorsAttn_Post_5,LH_Cont_Par_1,0.00011942483031488317
32,LH_DorsAttn_Post_5,LH_Cont_PFCl_1,7.770726218791354e-05
33,LH_DorsAttn_Post_5,LH_Default_PFC_5,-5.839321908677932e-05
34,LH_DorsAttn_Post_5,LH_Default_pCunPCC_1,-6.901809901015149e-05
35,LH_DorsAttn_Post_5,RH_Cont_PFCl_2,8.259254921703272e-05
36,LH_DorsAttn_PrCv_1,RH_Vis_8,-6.31612952733144e-05
37,LH_DorsAttn_FEF_1,LH_Cont_Par_1,9.05793660575206e-05
38,LH_DorsAttn_FEF_1,LH_Default_pCunPCC_1,-7.720776258472405e-05
39,LH_SalVentAttn_ParOper_1,RH_Vis_7,-6.128716605053145e-05
40,LH_SalVentAttn_ParOper_1,RH_DorsAttn_Post_4,-6.2952855145369e-05
41,LH_SalVentAttn_FrOperIns_2,LH_Cont_Par_1,9.32801861208775e-05
42,LH_SalVentAttn_FrOperIns_2,LH_Default_Par_1,9.168937388064843e-05
43,LH_SalVentAttn_FrOperIns_2,RH_Vis_2,9.258875146109371e-05
44,LH_Cont_Par_1,LH_Cont_PFCl_1,0.0001148964096688233
45,LH_Cont_Par_1,LH_Default_Par_1,0.00012101682361501779
46,LH_Cont_Par_1,RH_Cont_Par_1,-6.349139147359912e-05
47,LH_Cont_Par_1,RH_Cont_PFCl_2,7.516356649053822e-05
48,LH_Cont_PFCl_1,LH_Default_PFC_7,8.540698617346083e-05
49,LH_Cont_pCun_1,RH_Cont_pCun_1,9.45663471392237e-05
50,LH_Cont_Cing_1,RH_Default_PFCv_1,7.697384000985305e-05
51,LH_Default_Temp_1,LH_Default_PFC_4,7.516523084989671e-05
52,LH_Default_Temp_1,RH_Default_PFCv_1,9.553079562643201e-05
53,LH_Default_Temp_2,LH_Default_PFC_1,9.262205512776228e-05
54,LH_Default_Temp_2,LH_Default_PFC_2,7.231738940649054e-05
55,LH_Default_Temp_2,LH_Default_PFC_4,7.379093651832704e-05
56,LH_Default_Par_2,LH_Default_PFC_1,8.906036484650331e-05
57,LH_Default_Par_2,LH_Default_PFC_4,0.0001024810511089154
58,LH_Default_Par_2,RH_Default_PFCv_1,0.0001043696123766326
59,LH_Default_PFC_1,LH_Default_PFC_5,7.147772872485274e-05
60,LH_Default_PFC_1,RH_Default_PFCv_1,0.00011333174251328994
61,LH_Default_PFC_2,RH_Vis_5,-7.244678569888303e-05
62,LH_Default_PFC_2,RH_SalVentAttn_TempOccPar_2,-6.590615551931782e-05
63,LH_Default_PFC_2,RH_Cont_Par_1,-9.995629860243511e-05
64,LH_Default_PFC_4,LH_Default_PFC_5,6.683204547147972e-05
65,LH_Default_PFC_4,LH_Default_PFC_7,8.369065433998525e-05
66,LH_Default_PFC_4,RH_Default_Par_1,8.171055717609612e-05
67,LH_Default_PFC_4,RH_Default_Temp_3,8.293866509128059e-05
68,LH_Default_PFC_4,RH_Default_PFCv_1,7.96425908614227e-05
69,LH_Default_PFC_4,RH_Default_PFCdPFCm_3,0.00011409322189688081
70,LH_Default_PFC_5,RH_Vis_5,-7.938115832539314e-05
71,LH_Default_PFC_5,RH_Vis_6,-7.113907021216853e-05
72,LH_Default_PFC_5,RH_Cont_Par_1,-6.622453787127089e-05
73,LH_Default_PFC_5,RH_Cont_pCun_1,-7.018544078039776e-05
74,LH_Default_PFC_6,RH_Cont_Par_1,-0.00010042240900820741
75,LH_Default_PFC_6,RH_Cont_PFCl_4,-6.232235019542227e-05
76,LH_Default_PFC_6,RH_Cont_pCun_1,-7.586700240296259e-05
77,LH_Default_pCunPCC_1,RH_Vis_5,-6.449486935910555e-05
78,LH_Default_pCunPCC_1,RH_Vis_6,-7.067548388463738e-05
79,LH_Default_pCunPCC_1,RH_DorsAttn_Post_1,-8.262830405900501e-05
80,LH_Default_pCunPCC_1,RH_DorsAttn_Post_4,-7.211993208503561e-05
81,LH_Default_pCunPCC_1,RH_DorsAttn_FEF_1,-6.647487433255464e-05
82,LH_Default_pCunPCC_1,RH_Cont_pCun_1,-7.287697976638807e-05
83,LH_Default_pCunPCC_2,RH_Default_PFCdPFCm_1,7.069986673948156e-05
84,RH_Vis_2,RH_Cont_PFCl_3,7.852074658625467e-05
85,RH_Vis_3,RH_Vis_7,9.407482863249527e-05
86,RH_Vis_3,RH_DorsAttn_Post_4,9.351726800687562e-05
87,RH_Vis_5,RH_Vis_8,9.087061061620952e-05
88,RH_Vis_5,RH_Cont_PFCl_3,7.607482385256651e-05
89,RH_Vis_5,RH_Default_PFCv_2,-5.988464933114766e-05
90,RH_Vis_5,RH_Default_PFCdPFCm_2,-9.019257378433284e-05
91,RH_Vis_6,RH_Default_PFCdPFCm_2,-8.179483366823542e-05
92,RH_Vis_6,RH_Default_pCunPCC_1,-6.035317416055066e-05
93,RH_Vis_6,RH_Default_pCunPCC_2,-5.913448696149012e-05
94,RH_SomMot_6,RH_Default_PFCdPFCm_2,-5.8375197045665845e-05
95,RH_DorsAttn_Post_1,RH_Default_pCunPCC_1,-6.407613990761865e-05
96,RH_DorsAttn_Post_3,RH_DorsAttn_Post_4,0.00010364269906181101
