,node1,node2,beta
0,LH_Vis_2,LH_SalVentAttn_FrOperIns_2,0.00042676685708487895
1,LH_Vis_2,RH_Cont_PFCl_3,0.00029794231772051747
2,LH_Vis_3,LH_Vis_8,0.0003828091378882142
3,LH_Vis_3,LH_SalVentAttn_FrOperIns_2,0.0003310024881577383
4,LH_Vis_3,LH_Default_PFC_5,-0.00019773025027069034
5,LH_Vis_3,RH_Vis_8,0.00035293597778186233
6,LH_Vis_3,RH_Default_PFCdPFCm_2,-0.00030595458482791065
7,LH_Vis_4,LH_SalVentAttn_ParOper_1,-0.0001980254268010026
8,LH_Vis_5,LH_SalVentAttn_FrOperIns_2,0.0002806073692624078
9,LH_Vis_5,LH_SalVentAttn_PFCl_1,0.0003486094932015638
10,LH_Vis_5,RH_Cont_PFCl_3,0.00031864595958277814
11,LH_Vis_5,RH_Default_PFCdPFCm_2,-0.0002017931028080965
12,LH_Vis_6,LH_Default_PFC_5,-0.0002222479745224099
13,LH_Vis_6,LH_Default_PFC_6,-0.00018948928940346106
14,LH_Vis_6,LH_Default_pCunPCC_1,-0.00018191955734182368
15,LH_Vis_6,RH_Default_Temp_1,-0.00018539897509918963
16,LH_Vis_6,RH_Default_PFCv_2,-0.0001967827280141437
17,LH_Vis_6,RH_Default_PFCdPFCm_2,-0.00034732384322716487
18,LH_Vis_7,LH_Vis_8,0.0004540763915377841
19,LH_Vis_8,RH_Default_PFCdPFCm_2,-0.00020220356796831282
20,LH_Vis_9,LH_DorsAttn_Post_1,-0.00018062445221697448
21,LH_Vis_9,LH_DorsAttn_Post_3,-0.00017847454183504254
22,LH_Vis_9,RH_Default_PFCv_2,-0.00022182488746306622
23,LH_Vis_9,RH_Default_PFCdPFCm_2,-0.000255565081291118
24,LH_SomMot_4,RH_Default_PFCdPFCm_2,-0.00020658065524325233
25,LH_SomMot_5,RH_Default_PFCdPFCm_2,-0.0002815611992287261
26,LH_SomMot_6,RH_Default_PFCdPFCm_2,-0.00019347085487599156
27,LH_DorsAttn_Post_1,LH_DorsAttn_Post_3,0.00027945023406297857
28,LH_DorsAttn_Post_1,LH_Cont_Par_1,0.0002887219568521515
29,LH_DorsAttn_Post_1,RH_Vis_8,-0.00020649883744977579
30,LH_DorsAttn_Post_1,RH_DorsAttn_Post_3,0.00019252826183254907
31,LH_DorsAttn_Post_2,LH_DorsAttn_Post_5,0.0003525835585257744
32,LH_DorsAttn_Post_2,LH_SalVentAttn_FrOperIns_2,0.00029430101501930737
33,LH_DorsAttn_Post_2,LH_Cont_Par_1,0.0002970083711183414
34,LH_DorsAttn_Post_3,RH_DorsAttn_Post_3,0.00023338511892941418
35,LH_DorsAttn_Post_4,RH_Default_Par_1,-0.00018089450505302747
36,LH_DorsAttn_Post_4,RH_Default_PFCdPFCm_2,-0.00019816593738547486
37,LH_DorsAttn_Post_5,LH_Cont_Par_1,0.0003853079218482575
38,LH_DorsAttn_Post_5,LH_Cont_PFCl_1,0.00023503784742900946
39,LH_DorsAttn_Post_5,LH_Default_pCunPCC_1,-0.00020267300202076935
40,LH_DorsAttn_Post_5,RH_Cont_PFCl_2,0.000309288008784917
41,LH_DorsAttn_FEF_1,LH_Default_pCunPCC_1,-0.00020199721543681976
42,LH_SalVentAttn_ParOper_1,RH_DorsAttn_Post_4,-0.00018660646896524692
43,LH_SalVentAttn_FrOperIns_2,LH_Cont_Par_1,0.00020795596605920595
44,LH_SalVentAttn_FrOperIns_2,LH_Default_Par_1,0.0003895086437753598
45,LH_SalVentAttn_FrOperIns_2,RH_Vis_2,0.00036500380412413704
46,LH_Cont_Par_1,LH_Default_Par_1,0.00037716839024900216
47,LH_Cont_Par_1,RH_Cont_Par_1,-0.00030687418046604305
48,LH_Cont_PFCl_1,LH_Default_PFC_7,0.00023655482428829223
49,LH_Cont_Cing_1,RH_Default_PFCv_1,0.0003139546716601549
50,LH_Default_Temp_1,LH_Default_PFC_4,0.00023824202065309563
51,LH_Default_Temp_1,RH_Default_PFCv_1,0.0003101280593423123
52,LH_Default_Temp_2,LH_Default_PFC_1,0.00030065381402931304
53,LH_Default_Temp_2,LH_Default_PFC_2,0.0002036678377910388
54,LH_Default_Temp_2,LH_Default_PFC_4,0.000186601082065288
55,LH_Default_Par_2,LH_Default_PFC_1,0.00022704463052872066
56,LH_Default_Par_2,LH_Default_PFC_4,0.0002940282137807825
57,LH_Default_Par_2,RH_Default_PFCv_1,0.00032690955692038124
58,LH_Default_PFC_1,LH_Default_PFC_5,0.00021271533691011665
59,LH_Default_PFC_1,RH_Default_PFCv_1,0.00032905658512466155
60,LH_Default_PFC_2,RH_Vis_5,-0.0002152546586540463
61,LH_Default_PFC_2,RH_SalVentAttn_TempOccPar_2,-0.0001875813595028091
62,LH_Default_PFC_2,RH_Cont_Par_1,-0.0004042049904959308
63,LH_Default_PFC_4,LH_Default_PFC_5,0.00022414871892393454
64,LH_Default_PFC_4,LH_Default_PFC_7,0.00019854239011811615
65,LH_Default_PFC_4,RH_Default_Par_1,0.00019252539573416422
66,LH_Default_PFC_4,RH_Default_Temp_3,0.00025595710268127626
67,LH_Default_PFC_4,RH_Default_PFCv_1,0.0002682719257448744
68,LH_Default_PFC_4,RH_Default_PFCdPFCm_3,0.00030246053079649964
69,LH_Default_PFC_5,RH_Vis_2,-0.00020879989868905738
70,LH_Default_PFC_5,RH_Vis_5,-0.0002486253186760898
71,LH_Default_PFC_5,RH_Vis_6,-0.000210602069311943
72,LH_Default_PFC_5,RH_Cont_Par_1,-0.0002310882795036567
73,LH_Default_PFC_5,RH_Cont_pCun_1,-0.00026484961574860217
74,LH_Default_PFC_6,RH_Vis_5,-0.0002107320948538189
75,LH_Default_PFC_6,RH_Cont_Par_1,-0.0003962520605475993
