,node1,node2,beta
0,LH_Vis_2,LH_SalVentAttn_FrOperIns_2,0.02833986435435683
1,LH_Vis_3,RH_Default_PFCdPFCm_2,-0.009036417239043328
2,LH_Vis_4,LH_SomMot_3,-0.00674187044537582
3,LH_Vis_4,LH_DorsAttn_Post_2,-0.012370793463884672
4,LH_Vis_4,LH_Default_pCunPCC_1,-0.00511507526943491
5,LH_Vis_6,RH_Default_PFCv_2,-0.005584679274934659
6,LH_Vis_6,RH_Default_PFCdPFCm_2,-0.010436520619185662
7,LH_Vis_6,RH_Default_pCunPCC_1,0.008411490875428597
8,LH_Vis_7,LH_Vis_8,0.024863501313467106
9,LH_Vis_7,LH_Default_pCunPCC_1,-0.009150598463488173
10,LH_Vis_9,RH_Default_PFCv_2,-0.013973361546365623
11,LH_Vis_9,RH_Default_pCunPCC_1,0.007834706660853941
12,LH_SomMot_3,RH_SomMot_3,0.025270083258753614
13,LH_SomMot_5,RH_Default_PFCdPFCm_2,-0.006043905396102674
14,LH_DorsAttn_Post_1,LH_DorsAttn_Post_3,0.009090781349002756
15,LH_DorsAttn_Post_1,LH_Cont_Par_1,0.03436064042795158
16,LH_DorsAttn_Post_1,LH_Default_pCunPCC_1,-0.008340249891413293
17,LH_DorsAttn_Post_1,RH_DorsAttn_Post_3,0.01277921966373247
18,LH_DorsAttn_Post_2,LH_Default_pCunPCC_1,-0.0059735301558039786
19,LH_DorsAttn_Post_2,RH_Vis_4,-0.008126744817306849
20,LH_DorsAttn_Post_2,RH_Default_Par_1,-0.005662676852452579
21,LH_DorsAttn_Post_3,LH_Default_pCunPCC_1,-0.011184768750982597
22,LH_DorsAttn_Post_3,RH_DorsAttn_Post_3,0.013769118759295505
23,LH_DorsAttn_Post_3,RH_DorsAttn_Post_4,0.005382225125368372
24,LH_DorsAttn_Post_3,RH_Default_Par_1,-0.010076085445975965
25,LH_DorsAttn_Post_3,RH_Default_PFCdPFCm_2,-0.005979004925735945
26,LH_DorsAttn_Post_4,RH_Default_Par_1,-0.007328619166570006
27,LH_DorsAttn_Post_5,LH_Cont_Par_1,0.027751518870030127
28,LH_DorsAttn_Post_5,LH_Default_pCunPCC_1,-0.011210612653868468
29,LH_DorsAttn_Post_5,RH_Default_PFCdPFCm_2,-0.007071245453498715
30,LH_DorsAttn_Post_5,RH_Default_pCunPCC_2,-0.00480304763627609
31,LH_DorsAttn_PrCv_1,RH_Vis_8,-0.014515461402379155
32,LH_DorsAttn_FEF_1,LH_Default_pCunPCC_1,-0.016648768816233766
33,LH_DorsAttn_FEF_1,RH_Default_Par_1,-0.011913927967219008
34,LH_DorsAttn_FEF_1,RH_Default_Temp_1,-0.007481203416666327
35,LH_DorsAttn_FEF_1,RH_Default_PFCdPFCm_1,0.00632580365715494
36,LH_DorsAttn_FEF_1,RH_Default_pCunPCC_2,-0.0076491193433214965
37,LH_SalVentAttn_FrOperIns_2,RH_DorsAttn_FEF_1,0.011974299541653341
38,LH_SalVentAttn_Med_2,LH_Default_pCunPCC_1,0.0055441721273937795
39,LH_SalVentAttn_Med_3,RH_Default_PFCv_2,-0.004903645783388701
40,LH_Cont_Par_1,LH_Default_Par_1,0.029552228863231906
41,LH_Cont_pCun_1,RH_Cont_pCun_1,0.007344786427466105
42,LH_Cont_pCun_1,RH_Default_PFCdPFCm_3,0.017569104294986815
43,LH_Default_Temp_1,LH_Default_Temp_2,0.02353556194668113
44,LH_Default_Temp_1,LH_Default_PFC_1,0.01623070363834552
45,LH_Default_Temp_1,RH_Cont_PFCl_3,0.006549747554367996
46,LH_Default_Temp_2,LH_Default_PFC_1,0.01876799469572662
47,LH_Default_Temp_2,RH_SalVentAttn_TempOccPar_2,0.008034795615691785
48,LH_Default_Temp_2,RH_Cont_Par_1,-0.011851941739487205
49,LH_Default_Par_2,LH_Default_PFC_1,0.017981255036598545
50,LH_Default_PFC_1,LH_Default_PFC_5,0.017363270070655232
51,LH_Default_PFC_1,LH_Default_PFC_6,0.00883384473294371
52,LH_Default_PFC_1,RH_Default_PFCv_1,0.03618829559539711
53,LH_Default_PFC_1,RH_Default_PFCdPFCm_2,0.012049316226388057
54,LH_Default_PFC_2,RH_Vis_5,-0.006526916269987397
55,LH_Default_PFC_2,RH_Vis_6,0.007048652290745545
56,LH_Default_PFC_2,RH_SalVentAttn_FrOperIns_1,0.00684056911913606
57,LH_Default_PFC_2,RH_Cont_Par_1,-0.01776037496609994
58,LH_Default_PFC_2,RH_Cont_PFCl_3,-0.004799390069551891
59,LH_Default_PFC_4,RH_Default_PFCdPFCm_3,0.017711294490974284
60,LH_Default_PFC_5,RH_Vis_8,0.00890261057357339
61,LH_Default_PFC_5,RH_DorsAttn_Post_1,0.013048193345865797
62,LH_Default_PFC_5,RH_DorsAttn_Post_5,0.013426037330879033
63,LH_Default_PFC_5,RH_SalVentAttn_TempOccPar_2,0.01557890621318612
64,LH_Default_PFC_6,RH_Cont_Par_1,-0.03198244210539909
65,LH_Default_PFC_6,RH_Cont_pCun_1,-0.019844615616775127
66,LH_Default_pCunPCC_1,RH_Vis_2,-0.005785113391138189
67,LH_Default_pCunPCC_1,RH_Vis_3,-0.008359010124498665
68,LH_Default_pCunPCC_1,RH_Vis_4,-0.015189060869939347
69,LH_Default_pCunPCC_1,RH_SomMot_3,0.00905539221569777
70,LH_Default_pCunPCC_1,RH_SomMot_7,0.006477402114158573
71,LH_Default_pCunPCC_1,RH_DorsAttn_Post_1,-0.01591656663472612
72,LH_Default_pCunPCC_1,RH_DorsAttn_Post_2,-0.009655056403697501
73,LH_Default_pCunPCC_1,RH_DorsAttn_Post_4,-0.012727664792826106
74,LH_Default_pCunPCC_1,RH_DorsAttn_PrCv_1,-0.006483970817395017
75,LH_Default_pCunPCC_1,RH_DorsAttn_FEF_1,-0.012007721640770772
76,LH_Default_pCunPCC_1,RH_SalVentAttn_FrOperIns_1,0.00891438153510578
77,LH_Default_pCunPCC_1,RH_Cont_PFCl_2,0.006697590336541761
78,LH_Default_pCunPCC_1,RH_Cont_PFCl_3,-0.008971161719019419
79,LH_Default_pCunPCC_1,RH_Cont_PFCmp_1,-0.005004182334474742
80,LH_Default_pCunPCC_1,RH_Cont_pCun_1,-0.007680359225490438
81,LH_Default_pCunPCC_2,RH_Cont_pCun_1,-0.014042809256005397
82,RH_Vis_2,RH_Default_Par_1,-0.008099550576529363
83,RH_Vis_3,RH_Vis_7,0.020204890582575415
84,RH_Vis_3,RH_DorsAttn_Post_4,0.011623209334621439
85,RH_Vis_3,RH_Default_Par_1,-0.008451457888100358
86,RH_Vis_3,RH_Default_PFCdPFCm_2,-0.005511353758106125
87,RH_Vis_4,RH_SomMot_4,-0.010850264527508039
88,RH_Vis_4,RH_Default_pCunPCC_1,-0.011919797316658884
89,RH_Vis_5,RH_Default_Temp_1,-0.006107019224915876
90,RH_Vis_5,RH_Default_PFCv_2,-0.008200197229937069
91,RH_Vis_5,RH_Default_PFCdPFCm_2,-0.015962180562714028
92,RH_Vis_5,RH_Default_pCunPCC_1,0.008450283400462522
93,RH_Vis_6,RH_Cont_PFCl_4,-0.005501573131602076
94,RH_Vis_7,RH_Default_Par_1,-0.006699610553061978
95,RH_Vis_7,RH_Default_PFCdPFCm_2,-0.005986103920238792
96,RH_Vis_7,RH_Default_pCunPCC_1,0.006523747039959739
97,RH_Vis_8,RH_Default_PFCv_2,-0.011333956004747868
98,RH_Vis_8,RH_Default_PFCdPFCm_2,-0.006339193688973205
99,RH_SomMot_3,RH_Default_PFCv_2,0.0050459233066597374
100,RH_SomMot_5,RH_Default_PFCdPFCm_2,0.0048865837194347825
101,RH_SomMot_6,RH_Default_PFCv_2,-0.007250291594480486
102,RH_SomMot_6,RH_Default_PFCdPFCm_2,-0.013050206111591574
103,RH_SomMot_7,RH_Default_PFCv_2,0.00600178797735269
104,RH_SomMot_7,RH_Default_PFCdPFCm_2,0.005234487637995019
105,RH_DorsAttn_Post_1,RH_Default_PFCdPFCm_3,-0.01717282788504407
106,RH_DorsAttn_Post_1,RH_Default_pCunPCC_1,-0.00699001015063866
107,RH_DorsAttn_Post_1,RH_Default_pCunPCC_2,-0.0060629672206406835
108,RH_DorsAttn_Post_2,RH_Default_PFCdPFCm_2,0.007646445655596191
109,RH_DorsAttn_Post_2,RH_Default_pCunPCC_1,-0.008826658316387844
110,RH_DorsAttn_Post_3,RH_DorsAttn_Post_4,0.005410390681668029
111,RH_DorsAttn_Post_3,RH_Default_pCunPCC_2,0.01496825305924865
112,RH_DorsAttn_Post_4,RH_Default_Par_1,-0.006419060656200326
113,RH_DorsAttn_Post_4,RH_Default_PFCdPFCm_2,-0.006168766018447684
114,RH_DorsAttn_PrCv_1,RH_Default_Temp_1,-0.009327765070439299
115,RH_DorsAttn_FEF_1,RH_Default_PFCdPFCm_2,-0.005160901030556452
116,RH_SalVentAttn_TempOccPar_2,RH_SalVentAttn_FrOperIns_1,0.007127035951008275
117,RH_SalVentAttn_TempOccPar_2,RH_Default_PFCv_2,-0.008815618694722631
118,RH_SalVentAttn_FrOperIns_1,RH_Default_PFCv_2,-0.014209982837711658
119,RH_SalVentAttn_Med_2,RH_Default_pCunPCC_1,0.008616626146837227
120,RH_Cont_Par_1,RH_Cont_PFCl_3,0.006514128166180288
121,RH_Cont_PFCl_1,RH_Default_PFCdPFCm_3,0.016464276209900826
122,RH_Default_Temp_1,RH_Default_PFCdPFCm_1,0.023071997195165877
