,node1,node2,beta
0,LH_Vis_1,LH_DorsAttn_Post_2,-0.040909896222704745
1,LH_Vis_1,LH_Limbic_OFC_1,-0.0
2,LH_Vis_1,LH_Limbic_TempPole_2,-0.0
3,LH_Vis_1,LH_Cont_PFCl_1,-0.0
4,LH_Vis_1,RH_Limbic_OFC_1,0.0
5,LH_Vis_1,RH_Cont_Par_2,-0.10646578711298738
6,LH_Vis_1,RH_Cont_PFCl_1,-0.0
7,LH_Vis_1,RH_Cont_PFCl_4,-0.0
8,LH_Vis_1,RH_Default_Temp_1,-0.0
9,LH_Vis_1,RH_Default_PFCv_1,-0.0
10,LH_Vis_1,RH_Default_PFCdPFCm_1,-0.0
11,LH_Vis_1,RH_Default_pCunPCC_1,-0.005797052179464637
12,LH_Vis_2,LH_Limbic_TempPole_2,-0.0
13,LH_Vis_2,RH_Cont_Par_2,-0.0
14,LH_Vis_2,RH_Cont_PFCl_1,-0.0
15,LH_Vis_2,RH_Cont_PFCl_2,0.0
16,LH_Vis_2,RH_Default_Temp_1,-0.0
17,LH_Vis_3,LH_Vis_5,-0.10906110228974222
18,LH_Vis_3,LH_Limbic_TempPole_2,-0.01262948640520081
19,LH_Vis_3,LH_Cont_Par_1,-0.0
20,LH_Vis_3,LH_Cont_PFCl_1,-0.12896419474462847
21,LH_Vis_3,RH_Cont_Par_1,-0.0
22,LH_Vis_3,RH_Cont_Par_2,-0.013239305656222822
23,LH_Vis_3,RH_Cont_PFCl_1,-0.0
24,LH_Vis_3,RH_Cont_PFCl_2,-0.0
25,LH_Vis_3,RH_Cont_PFCl_4,-0.0
26,LH_Vis_3,RH_Cont_PFCmp_1,-0.03937259525725753
27,LH_Vis_3,RH_Default_Temp_1,-0.0
28,LH_Vis_4,LH_Limbic_TempPole_2,-0.2137002030617557
29,LH_Vis_4,LH_Cont_Par_1,-0.05206103699195121
30,LH_Vis_4,LH_Default_Par_2,-0.0
31,LH_Vis_4,RH_Limbic_OFC_1,0.0
32,LH_Vis_4,RH_Cont_Par_2,-0.11338762736987879
33,LH_Vis_4,RH_Cont_PFCl_1,-0.0628025517577515
34,LH_Vis_4,RH_Default_Temp_1,-0.0
35,LH_Vis_4,RH_Default_PFCdPFCm_1,-0.016270390251008605
36,LH_Vis_5,LH_Vis_7,-0.0
