,node1,node2,beta
0,LH_Vis_1,LH_DorsAttn_Post_1,0.2537504514216679
1,LH_Vis_1,LH_Default_Temp_2,-0.4558776106685322
2,LH_Vis_1,RH_SalVentAttn_TempOccPar_2,0.3801276663946681
3,LH_Vis_1,RH_Limbic_TempPole_1,-0.658338834522776
4,LH_Vis_2,LH_Limbic_TempPole_1,0.6808228461944452
5,LH_Vis_2,RH_Limbic_OFC_1,0.35356154697653047
6,LH_Vis_3,LH_Limbic_TempPole_1,-0.29200078033223803
7,LH_Vis_3,RH_Limbic_TempPole_1,0.8874957821343913
8,LH_Vis_3,RH_Default_Temp_2,0.40479002728548796
9,LH_Vis_5,LH_Vis_7,-0.7534419998324265
10,LH_Vis_5,LH_SomMot_1,-1.0009108097747608
11,LH_Vis_5,LH_Limbic_TempPole_1,0.3163874792761368
12,LH_Vis_5,RH_Vis_8,0.4014705753878528
13,LH_Vis_5,RH_SomMot_2,0.6294670266193554
14,LH_Vis_5,RH_SalVentAttn_Med_2,0.3869519988657888
15,LH_Vis_6,LH_SomMot_1,-0.448751468748259
16,LH_Vis_6,LH_Limbic_TempPole_1,-0.5327483286698272
17,LH_Vis_6,LH_Default_Temp_1,0.312781477849513
18,LH_Vis_6,RH_SomMot_1,0.6008111389343526
19,LH_Vis_6,RH_Limbic_TempPole_1,0.30391391255446515
20,LH_Vis_7,LH_Limbic_TempPole_1,0.7329937885185217
21,LH_Vis_9,LH_Limbic_TempPole_1,-0.5076479080010439
22,LH_SomMot_1,RH_SalVentAttn_FrOperIns_1,0.6996958717471305
23,LH_SomMot_2,RH_DorsAttn_Post_5,-0.7288401633270156
24,LH_SomMot_6,RH_SalVentAttn_Med_2,-0.3371144414865296
25,LH_DorsAttn_Post_1,LH_Limbic_TempPole_1,-0.3393669610736824
26,LH_DorsAttn_Post_1,LH_Default_PFC_6,0.38026289335212354
27,LH_DorsAttn_Post_1,LH_Default_pCunPCC_1,0.6208524876179542
28,LH_DorsAttn_Post_1,LH_Default_pCunPCC_2,-1.0657783463620216
29,LH_DorsAttn_Post_1,RH_Limbic_OFC_1,0.3895012455869096
30,LH_DorsAttn_Post_2,LH_Default_pCunPCC_2,0.5454465302617337
31,LH_DorsAttn_Post_2,RH_SomMot_5,-0.4607810245115306
32,LH_DorsAttn_Post_3,LH_Limbic_TempPole_1,0.4515767729871089
33,LH_DorsAttn_Post_4,LH_Default_pCunPCC_1,-0.31168396339365945
34,LH_DorsAttn_Post_4,LH_Default_pCunPCC_2,-0.7519440205033027
35,LH_DorsAttn_Post_5,LH_Default_Temp_1,-0.6664968884645355
36,LH_DorsAttn_Post_5,LH_Default_pCunPCC_2,-0.28973372714520007
37,LH_DorsAttn_Post_5,RH_SomMot_1,-0.4801946248272183
38,LH_DorsAttn_Post_5,RH_SomMot_2,-0.24471428377020465
39,LH_DorsAttn_Post_5,RH_SomMot_8,0.3907868061080144
40,LH_DorsAttn_Post_5,RH_Limbic_TempPole_1,-1.1988569125971806
41,LH_DorsAttn_Post_5,RH_Default_Temp_3,0.7177441087567784
42,LH_DorsAttn_Post_5,RH_Default_PFCv_1,0.46982057878690986
43,LH_DorsAttn_Post_5,RH_Default_pCunPCC_2,0.3159028150110209
44,LH_DorsAttn_Post_6,LH_Limbic_TempPole_1,-0.4793911763401967
45,LH_DorsAttn_Post_6,RH_Limbic_TempPole_1,0.25998613450651625
46,LH_DorsAttn_FEF_1,LH_Default_pCunPCC_2,0.32714764083703574
47,LH_DorsAttn_FEF_1,RH_Limbic_TempPole_1,-0.39401668077784896
48,LH_DorsAttn_FEF_1,RH_Default_Temp_2,0.27112328665083263
49,LH_SalVentAttn_ParOper_1,LH_Default_pCunPCC_1,-0.49425854303122685
50,LH_SalVentAttn_Med_1,LH_Limbic_TempPole_1,0.6159589239858373
51,LH_SalVentAttn_Med_2,LH_Default_pCunPCC_1,0.5115268775279794
52,LH_Limbic_OFC_1,RH_Cont_pCun_1,0.44884854855126366
53,LH_Limbic_TempPole_1,LH_Default_Temp_1,0.41080547587617655
54,LH_Limbic_TempPole_1,LH_Default_Temp_2,-0.3355514880121351
55,LH_Limbic_TempPole_1,LH_Default_Par_2,0.35407530848658364
56,LH_Limbic_TempPole_1,LH_Default_PFC_2,0.24610933647763467
57,LH_Limbic_TempPole_1,LH_Default_PFC_6,0.30311688188027197
58,LH_Limbic_TempPole_1,LH_Default_pCunPCC_2,-0.790231133118563
59,LH_Limbic_TempPole_1,RH_Vis_2,-0.5317663721274423
60,LH_Limbic_TempPole_1,RH_Vis_3,0.4910180344716744
61,LH_Limbic_TempPole_1,RH_Vis_6,-0.6572540502822901
62,LH_Limbic_TempPole_1,RH_Vis_8,-0.532180088645331
63,LH_Limbic_TempPole_1,RH_SomMot_2,0.4514096384255806
