,node1,node2,beta
0,LH_Vis_1,LH_DorsAttn_Post_5,0.03149091430561475
1,LH_Vis_1,LH_Limbic_TempPole_1,-0.0351783460500228
2,LH_Vis_1,LH_Default_Temp_2,-0.032224382787809126
3,LH_Vis_1,LH_Default_pCunPCC_2,0.031868442535223605
4,LH_Vis_1,RH_SalVentAttn_TempOccPar_1,0.068592978094713
5,LH_Vis_1,RH_Limbic_OFC_1,0.06804151479502979
6,LH_Vis_1,RH_Limbic_TempPole_1,-0.058172154307487546
7,LH_Vis_1,RH_Default_Par_1,0.05154540320452617
8,LH_Vis_1,RH_Default_Temp_3,-0.030984688638618554
9,LH_Vis_2,RH_Limbic_OFC_1,0.034379172397713625
10,LH_Vis_3,LH_Vis_5,-0.026207509791752806
11,LH_Vis_3,RH_Limbic_OFC_1,-0.04258521751245124
12,LH_Vis_5,LH_SomMot_1,-0.04928543697127323
13,LH_Vis_5,RH_Vis_2,0.030774974469850506
14,LH_Vis_5,RH_Vis_6,-0.03382011118317056
15,LH_Vis_5,RH_Vis_8,0.02910554989039487
16,LH_Vis_5,RH_SomMot_2,0.03959362456145904
17,LH_Vis_6,RH_Limbic_TempPole_1,0.06946662003188223
18,LH_Vis_6,RH_Default_Temp_2,0.07222361631272128
19,LH_SomMot_1,RH_SalVentAttn_FrOperIns_1,0.028984125101117704
20,LH_SomMot_2,LH_DorsAttn_Post_5,-0.03503555749758973
21,LH_SomMot_2,RH_DorsAttn_Post_5,-0.06848524096975994
22,LH_SomMot_2,RH_SalVentAttn_Med_1,-0.0428796311130849
23,LH_DorsAttn_Post_1,LH_Cont_Par_1,-0.04405709738661637
24,LH_DorsAttn_Post_1,LH_Default_PFC_6,0.04229942293152875
25,LH_DorsAttn_Post_1,LH_Default_PFC_7,0.06103125970748754
26,LH_DorsAttn_Post_1,LH_Default_pCunPCC_2,-0.06361058880136954
27,LH_DorsAttn_Post_1,RH_Limbic_OFC_1,0.04056753880650529
28,LH_DorsAttn_Post_2,RH_SalVentAttn_Med_2,-0.060204310740729836
29,LH_DorsAttn_Post_5,LH_Limbic_TempPole_1,-0.057056998470228895
30,LH_DorsAttn_Post_5,LH_Default_Temp_1,-0.08166321347451745
31,LH_DorsAttn_Post_5,LH_Default_Par_1,-0.043566509312816123
32,LH_DorsAttn_Post_5,RH_SomMot_1,-0.03113348833552636
33,LH_DorsAttn_Post_5,RH_SomMot_3,0.037984450451753755
34,LH_DorsAttn_Post_5,RH_Limbic_TempPole_1,-0.07806788019900006
35,LH_DorsAttn_Post_5,RH_Default_Temp_2,0.041714108582033116
36,LH_DorsAttn_Post_5,RH_Default_Temp_3,0.07519023708601442
37,LH_SalVentAttn_ParOper_1,LH_Default_pCunPCC_1,-0.031665350364136126
38,LH_SalVentAttn_PFCl_1,LH_Limbic_OFC_1,-0.059934388135257394
39,LH_SalVentAttn_Med_1,LH_Limbic_OFC_1,0.039844617925629926
40,LH_Limbic_OFC_1,RH_Vis_2,-0.027276290781870875
41,LH_Limbic_OFC_1,RH_Vis_6,0.04186977998009755
42,LH_Limbic_OFC_1,RH_Vis_8,0.028058528105345378
43,LH_Limbic_OFC_1,RH_DorsAttn_Post_4,0.037060865334195024
44,LH_Limbic_OFC_1,RH_Cont_pCun_1,-0.031240687923544817
45,LH_Limbic_TempPole_1,LH_Default_Temp_2,-0.061385760981428304
46,LH_Limbic_TempPole_1,LH_Default_Par_2,0.03988315119293481
47,LH_Limbic_TempPole_1,LH_Default_PFC_1,-0.05637638643789038
48,LH_Limbic_TempPole_1,LH_Default_PFC_3,0.1256496973229641
49,LH_Limbic_TempPole_1,LH_Default_PFC_6,0.06784007545755089
50,LH_Limbic_TempPole_1,LH_Default_pCunPCC_1,-0.035671378385329716
51,LH_Limbic_TempPole_1,LH_Default_pCunPCC_2,-0.08247210063778795
52,LH_Limbic_TempPole_1,RH_Vis_1,0.08950486490769759
53,LH_Limbic_TempPole_1,RH_SomMot_5,0.06696554527478787
54,LH_Limbic_TempPole_1,RH_Limbic_OFC_1,-0.05401693501922235
55,LH_Limbic_TempPole_1,RH_Default_Temp_3,0.0400309807994838
56,LH_Limbic_TempPole_1,RH_Default_PFCv_1,0.034267163044757624
57,LH_Limbic_TempPole_1,RH_Default_pCunPCC_1,0.027907545927674977
58,LH_Limbic_TempPole_2,RH_Limbic_OFC_1,-0.060442435616405076
59,LH_Cont_Par_1,RH_Vis_2,0.0383408401021435
60,LH_Default_Temp_1,LH_Default_pCunPCC_1,0.02977524453848003
61,LH_Default_Temp_1,RH_Limbic_TempPole_1,0.030560664768256092
62,LH_Default_Temp_1,RH_Default_PFCv_1,-0.08450942780910829
63,LH_Default_Temp_2,LH_Default_pCunPCC_1,-0.04418838724952569
64,LH_Default_Temp_2,LH_Default_pCunPCC_2,0.05397102846340901
65,LH_Default_Temp_2,RH_Limbic_TempPole_1,0.060085328065845
66,LH_Default_PFC_2,LH_Default_pCunPCC_2,-0.07574062684126388
67,LH_Default_PFC_4,RH_Limbic_OFC_1,0.09864106317917702
68,LH_Default_PFC_6,RH_Limbic_TempPole_1,-0.030844389863443247
69,LH_Default_PFC_7,RH_Limbic_OFC_1,0.04090211032883327
70,LH_Default_pCunPCC_1,RH_SomMot_1,0.030307927825485716
71,LH_Default_pCunPCC_1,RH_Limbic_OFC_1,-0.03184683198281558
72,LH_Default_pCunPCC_1,RH_Limbic_TempPole_1,-0.07313342274850494
73,LH_Default_pCunPCC_1,RH_Default_Temp_2,-0.07067275755647005
74,LH_Default_pCunPCC_1,RH_Default_PFCv_1,0.051039712765297375
75,LH_Default_pCunPCC_2,RH_Vis_1,0.03175415005572564
76,LH_Default_pCunPCC_2,RH_SomMot_1,0.03237092972826973
77,LH_Default_pCunPCC_2,RH_DorsAttn_Post_1,-0.03245519185833274
78,LH_Default_pCunPCC_2,RH_Limbic_OFC_1,-0.03147092253586485
79,LH_Default_pCunPCC_2,RH_Default_Temp_2,-0.061641706599609464
80,LH_Default_pCunPCC_2,RH_Default_Temp_3,-0.025794579662190953
81,RH_Vis_2,RH_Limbic_OFC_1,-0.0561570746672752
82,RH_Vis_2,RH_Cont_pCun_1,0.028171053649008918
83,RH_Vis_3,RH_Limbic_OFC_1,-0.06889198840201888
84,RH_Vis_3,RH_Default_PFCv_1,-0.05762227306212132
85,RH_Vis_8,RH_Limbic_OFC_1,-0.03284844589505561
86,RH_SomMot_1,RH_SalVentAttn_Med_1,0.047148498006931217
87,RH_SomMot_1,RH_Cont_Par_2,0.05355051354371716
88,RH_SomMot_1,RH_Cont_Cing_1,-0.04812528110521404
89,RH_SomMot_2,RH_DorsAttn_Post_5,-0.032871474268814024
90,RH_SomMot_2,RH_SalVentAttn_Med_1,0.04479697038682019
91,RH_SomMot_5,RH_SalVentAttn_FrOperIns_1,0.06454952802437659
92,RH_SomMot_5,RH_Default_PFCv_1,0.04325254916372859
93,RH_DorsAttn_Post_4,RH_Limbic_OFC_1,0.027061582092433506
94,RH_DorsAttn_FEF_1,RH_Default_PFCv_1,-0.03002198773028769
95,RH_DorsAttn_FEF_1,RH_Default_PFCv_2,-0.06921801819737072
96,RH_SalVentAttn_TempOccPar_2,RH_Cont_PFCl_1,-0.059168454168191366
97,RH_Limbic_OFC_1,RH_Limbic_TempPole_1,0.03294063135805146
98,RH_Limbic_OFC_1,RH_Cont_Par_2,-0.10844245695196914
99,RH_Limbic_OFC_1,RH_Cont_pCun_1,0.05191478251623937
100,RH_Limbic_OFC_1,RH_Default_Temp_1,-0.05527314186011549
101,RH_Limbic_OFC_1,RH_Default_Temp_3,-0.05426777613838824
102,RH_Limbic_OFC_1,RH_Default_PFCv_1,0.05512197646389443
103,RH_Limbic_OFC_1,RH_Default_PFCdPFCm_3,-0.05789345663977305
104,RH_Limbic_OFC_1,RH_Default_pCunPCC_2,0.06695294950958955
105,RH_Limbic_TempPole_1,RH_Cont_Par_2,0.06785247465551845
106,RH_Limbic_TempPole_1,RH_Cont_pCun_1,-0.03154691031250782
107,RH_Limbic_TempPole_1,RH_Default_Par_1,-0.058566052748911884
108,RH_Limbic_TempPole_1,RH_Default_Temp_1,0.03629815750107907
109,RH_Limbic_TempPole_1,RH_Default_Temp_3,0.03642429734705808
110,RH_Limbic_TempPole_1,RH_Default_pCunPCC_1,-0.02641205055953099
111,RH_Cont_Par_2,RH_Default_PFCv_1,-0.025890565581615538
112,RH_Cont_pCun_1,RH_Default_Temp_2,0.0411024892325256
113,RH_Cont_pCun_1,RH_Default_Temp_3,0.03695335844268281
114,RH_Cont_pCun_1,RH_Default_PFCv_1,0.06033584423705147
115,RH_Default_Par_1,RH_Default_Temp_2,0.03492189197923709
116,RH_Default_Temp_1,RH_Default_PFCdPFCm_1,-0.054936964568670706
117,RH_Default_Temp_1,RH_Default_PFCdPFCm_3,-0.057829941191562206
118,RH_Default_Temp_1,RH_Default_pCunPCC_1,0.05037613348536383
119,RH_Default_Temp_2,RH_Default_PFCdPFCm_3,-0.028886140956716655
120,RH_Default_Temp_2,RH_Default_pCunPCC_1,-0.05157372850125126
121,RH_Default_Temp_3,RH_Default_PFCdPFCm_1,0.029903399438759824
122,RH_Default_PFCv_1,RH_Default_PFCdPFCm_3,-0.05833759515408621
